SEED,dataset,protected_att,target,method,anon_parameter,supp_level,SPD,EOD,MAD,PED,PRD,ACC,f1,Precision,Recall,ROC_AUC,CM
0,ACSIncome_10000,SEX,PINCP,k-anonymity,10,10,0.2872568867600032,0.4578958593529893,-0.06871571299713064,0.14139468064530922,0.11323065029952317,0.7839395635142697,0.5603006491288008,0.6778726922017084,0.47748447204968947,0.6927837519864739,"[[11549  1169]
 [ 2692  2460]]"
1,ACSIncome_10000,SEX,PINCP,k-anonymity,10,20,0.28185037524999257,0.45198531678734777,-0.06779316603192298,0.1414322355900617,0.12830289848505438,0.7773348185495691,0.5496798672041736,0.6662834147743605,0.46781029263370333,0.6859378681810063,"[[10941  1161]
 [ 2637  2318]]"
2,ACSIncome_10000,SEX,PINCP,k-anonymity,10,30,0.2982805428831075,0.43501108894358004,-0.07275663419779987,0.15270812354341923,0.17380624052935967,0.7698986975397974,0.5691056910569106,0.6535269709543569,0.504,0.6943342541436464,"[[8967 1169]
 [2170 2205]]"
3,ACSIncome_10000,SEX,PINCP,k-anonymity,10,40,0.28733652079481753,0.42107618858165907,-0.07483410850234606,0.1443476953358317,0.14308035714285705,0.771107588393411,0.5615841584158416,0.6714015151515151,0.48264125255275697,0.6897961756725377,"[[9061 1041]
 [2280 2127]]"
4,ACSIncome_10000,SEX,PINCP,k-anonymity,10,50,0.3030976577364406,0.44540066482318497,-0.08738683884770337,0.15205750812545676,0.20256728048510658,0.7682494684620836,0.5647461494580719,0.6677158273381295,0.48929159802306427,0.6906411220165015,"[[6103  739]
 [1550 1485]]"
5,ACSIncome_10000,SEX,PINCP,k-anonymity,10,10,0.25677562907589085,0.4017888465019532,-0.07608552544862257,0.1267478054752416,0.12965049879600954,0.7752645428587425,0.5316219369894982,0.6686234223657176,0.4412163470850281,0.6761523537283701,"[[11569  1129]
 [ 2885  2278]]"
6,ACSIncome_10000,SEX,PINCP,k-anonymity,10,20,0.28557314332592815,0.4576825375665608,-0.06897814484000186,0.14373801871745606,0.150862340873822,0.7790029325513197,0.5505725190839694,0.6573625747650242,0.47363020726451877,0.6874187005773198,"[[10974  1203]
 [ 2565  2308]]"
7,ACSIncome_10000,SEX,PINCP,k-anonymity,10,30,0.29531773828029895,0.4230799988823339,-0.06554952361331479,0.14989568163335254,0.14947047063273355,0.7735562310030395,0.5812468063362289,0.6596114815888663,0.519525005709066,0.7016264228307635,"[[8923 1174]
 [2104 2275]]"
8,ACSIncome_10000,SEX,PINCP,k-anonymity,10,40,0.27654050012924664,0.3747123595169905,-0.07395922790158638,0.1400108502643501,0.17331281037348545,0.7679806362378977,0.57375174691907,0.6477337923121056,0.5149372862029646,0.6965257150617801,"[[8847 1228]
 [2127 2258]]"
9,ACSIncome_10000,SEX,PINCP,k-anonymity,10,50,0.2992695224336101,0.45978135991941793,-0.06979788573450996,0.1325074424698591,0.22440746080500357,0.7813189015834837,0.583587786259542,0.6921684019918515,0.5044539755856153,0.7032849984448876,"[[6267  680]
 [1502 1529]]"
