SEED,protected_att,target,method,k_parameter,anon_parameter,SPD,EOD,MAD,PED,PRD,ACC,f1,Precision,Recall,ROC_AUC,CM,ASF,ALF,NCF
0,SEX,PINCP,k-anonymity,1,1,0.21608757649014676,0.1092345591691205,-0.0021668096529672276,0.1239002592290849,0.03831508219844626,0.8079303094022229,0.8114309307538045,0.7938257357184074,0.8298347207141995,0.8080181262738062,"[[13139  3573]
 [ 2821 13757]]",4.159372,0.5924115211443634,0.22376125
0,SEX,PINCP,t-closeness,1,0.45,0.21608757649014676,0.1092345591691205,-0.0021668096529672276,0.1239002592290849,0.03831508219844626,0.8079303094022229,0.8114309307538045,0.7938257357184074,0.8298347207141995,0.8080181262738062,"[[13139  3573]
 [ 2821 13757]]",4.159372,0.5924115211443634,0.22376125
0,SEX,PINCP,l-diversity,1,2,0.21608757649014676,0.1092345591691205,-0.0021668096529672276,0.1239002592290849,0.03831508219844626,0.8079303094022229,0.8114309307538045,0.7938257357184074,0.8298347207141995,0.8080181262738062,"[[13139  3573]
 [ 2821 13757]]",4.159372,0.5924115211443634,0.22376125
0,SEX,PINCP,k-anonymity,2,2,0.23199713923219395,0.17484920929697267,0.03126424690206475,0.12058393401399217,0.08256062775609874,0.7668068489035746,0.7714546471575352,0.753464834090517,0.7903245264808783,0.7669011335132968,"[[12425  4287]
 [ 3476 13102]]",0.2551287,2.548157065024958,0.14002942
0,SEX,PINCP,l-diversity,2,2,0.018497264623742238,0.02339340579469984,0.1326430098856462,-0.014481006899193516,0.1771345441915131,0.5422649444277561,0.6586622463151293,0.5238740022805017,0.8868379780431898,0.5436463705438543,"[[ 3350 13362]
 [ 1876 14702]]",0.0010457708,0.345073401927948,0.0009865331
0,SEX,PINCP,t-closeness,2,0.45,0.018497264623742238,0.02339340579469984,0.1326430098856462,-0.014481006899193516,0.1771345441915131,0.5422649444277561,0.6586622463151293,0.5238740022805017,0.8868379780431898,0.5436463705438543,"[[ 3350 13362]
 [ 1876 14702]]",0.0010457708,0.345073401927948,0.0009865331
0,SEX,PINCP,k-anonymity,3,3,0.21920299794899595,0.16418046936855357,0.02688334893420663,0.10776395140342579,0.0851926320708215,0.7628116551516972,0.7636069696425364,0.7580242510699001,0.7692725298588491,0.7628375574138669,"[[12641  4071]
 [ 3825 12753]]",0.2484014,3.2209086933232776,0.1381656
0,SEX,PINCP,l-diversity,3,2,0.018497264623742238,0.02339340579469984,0.1326430098856462,-0.014481006899193516,0.1771345441915131,0.5422649444277561,0.6586622463151293,0.5238740022805017,0.8868379780431898,0.5436463705438543,"[[ 3350 13362]
 [ 1876 14702]]",0.0011732184,0.22617635130882263,0.0011179923
0,SEX,PINCP,k-anonymity,4,4,0.2295223273643715,0.17581975055735277,0.02755061110220769,0.11914045559270173,0.08213634348520615,0.7601982577350556,0.7615520176827265,0.7542748949766286,0.7689709253227168,0.7602334281951068,"[[12559  4153]
 [ 3830 12748]]",0.20063524,3.056602407564044,0.11874432
0,SEX,PINCP,t-closeness,3,0.45,0.018497264623742238,0.02339340579469984,0.1326430098856462,-0.014481006899193516,0.1771345441915131,0.5422649444277561,0.6586622463151293,0.5238740022805017,0.8868379780431898,0.5436463705438543,"[[ 3350 13362]
 [ 1876 14702]]",0.0011732184,0.22617635130882263,0.0011179923
0,SEX,PINCP,l-diversity,4,2,0.018497264623742238,0.02339340579469984,0.1326430098856462,-0.014481006899193516,0.1771345441915131,0.5422649444277561,0.6586622463151293,0.5238740022805017,0.8868379780431898,0.5436463705438543,"[[ 3350 13362]
 [ 1876 14702]]",0.0013314161,0.39356398582458496,0.0012707371
0,SEX,PINCP,k-anonymity,5,5,0.2235660624200459,0.16670014614091733,0.02502088074583697,0.11630941047844473,0.08274378133795857,0.7595674376689696,0.7612171837708831,0.7530397827883367,0.7695741343949813,0.7596075554693911,"[[12528  4184]
 [ 3820 12758]]",0.19962847,3.413885625663138,0.11888154
0,SEX,PINCP,t-closeness,4,0.45,0.018497264623742238,0.02339340579469984,0.1326430098856462,-0.014481006899193516,0.1771345441915131,0.5422649444277561,0.6586622463151293,0.5238740022805017,0.8868379780431898,0.5436463705438543,"[[ 3350 13362]
 [ 1876 14702]]",0.0013314161,0.39356398582458496,0.0012707371
0,SEX,PINCP,k-anonymity,6,6,0.2362948745039828,0.1755602928931127,0.024107480148460425,0.13421924878547423,0.07691571620057314,0.7583959146890958,0.7627083640654964,0.7464341398625628,0.7797080468090241,0.7584813570569774,"[[12321  4391]
 [ 3652 12926]]",0.18964827,2.7129263877868652,0.111976214
0,SEX,PINCP,l-diversity,6,2,0.47867531223016435,0.5442792978482629,0.06493722406552327,0.32636762389898816,0.05833823435728258,0.6731751276659658,0.6368733729390561,0.7128661087866108,0.5755217758475087,0.6727836260759803,"[[12869  3843]
 [ 7037  9541]]",0.013242306,1.1463621854782104,0.01210717
0,SEX,PINCP,t-closeness,6,0.45,0.010301843183413872,-0.048204128820638736,0.013644621831186532,-0.06084955176559548,0.17033166165936686,0.6903875037548813,0.6954106208812317,0.681652279705695,0.7097357944263482,0.6904650728953186,"[[11217  5495]
 [ 4812 11766]]",0.020133492,0.9967546525235442,0.017966451
0,SEX,PINCP,k-anonymity,7,7,0.22811964506754556,0.17038311199641376,0.026406785809762967,0.12279726275120423,0.0830306455095744,0.7582757584860318,0.7619582901937583,0.7476055029894932,0.7768729641693811,0.7583503164552027,"[[12364  4348]
 [ 3699 12879]]",0.19100483,3.150327557758206,0.11246573
0,SEX,PINCP,l-diversity,7,2,0.16982318836704435,0.12405485049712939,0.02783402262511503,0.0775649650631593,0.12457281879968052,0.7168519074797236,0.7220780752447222,0.7062521628792249,0.7386295089878152,0.7169392159587233,"[[11619  5093]
 [ 4333 12245]]",0.035593726,1.2695375927762955,0.031770676
0,SEX,PINCP,t-closeness,7,0.45,0.18803026256868682,0.13161619903459232,0.04043889009756341,0.11467422847734382,0.12392129674804919,0.7051066386302193,0.7321930327086232,0.6683599780865581,0.8095065749788877,0.705525187920272,"[[10053  6659]
 [ 3158 13420]]",0.022136644,1.1512302088944575,0.019772684
0,SEX,PINCP,k-anonymity,8,8,0.2291291005684205,0.1707179270741861,0.0259372837371995,0.12416747051578747,0.08184303481914579,0.7587864223490538,0.7624963028689736,0.7480269266480966,0.777536494148872,0.7588615931730478,"[[12370  4342]
 [ 3688 12890]]",0.18747656,2.8716225624084473,0.11144735
