SEED,protected_att,target,method,k_parameter,anon_parameter,SPD,EOD,MAD,PED,PRD,ACC,f1,Precision,Recall,ROC_AUC,CM,ASF,ALF,NCF
0,gender,income,k-anonymity,1,1,0.37565987541919504,0.22721611879848658,0.0016895741324024494,0.20441605050374018,0.07683181394121186,0.8125408942202835,0.8272882547975485,0.806464250734574,0.8492161716171617,0.810309150130654,"[[3334  988]
 [ 731 4117]]",1.5861700488846762,1.2559169447054477,0.23150374
0,gender,income,k-anonymity,2,2,0.37439786162966326,0.23287145862988523,-0.00048026727004801817,0.2121399230336836,0.08671046766284862,0.7991275899672846,0.8147254073627037,0.7950530035335689,0.8353960396039604,0.7969206019398793,"[[3278 1044]
 [ 798 4050]]",0.2565353026016992,3.454301755986781,0.13787352
0,gender,income,k-anonymity,3,3,0.3870172340716823,0.25339873543756575,-0.002738463853326878,0.22747740735936353,0.08034553290963553,0.7924754634678299,0.8078748107016658,0.7911805418232154,0.8252887788778878,0.79047872539452,"[[3266 1056]
 [ 847 4001]]",0.2208489870264815,3.404758304149619,0.12770721
0,gender,income,k-anonymity,4,4,0.379701140787857,0.25048809244096804,-0.0013504783208316828,0.21948934146236004,0.08958977031080562,0.7889858233369684,0.8040506329113924,0.7897354286851005,0.8188943894389439,0.7871658434931879,"[[3265 1057]
 [ 878 3970]]",0.19683914640150202,3.633930612815847,0.12435555
0,gender,income,k-anonymity,5,5,0.37103467853367145,0.2367161414514547,-0.0027932484394594947,0.21460025078912096,0.09464276511783187,0.7880043620501636,0.8035569927243331,0.7876386687797148,0.8201320132013201,0.7860493476464722,"[[3250 1072]
 [ 872 3976]]",0.20099416466607484,3.452939510345459,0.12686472
0,gender,income,k-anonymity,6,6,0.39383523595863407,0.2548527399028345,-0.01123477677413487,0.24530981104336919,0.0696241608490169,0.7866957470010905,0.8026236125126135,0.7856578427499012,0.8203382838283828,0.7846485495958203,"[[3237 1085]
 [ 871 3977]]",0.15806566677731063,4.506410121917725,0.10982795
0,gender,income,k-anonymity,7,7,0.38882151684850186,0.25102175422477857,-0.00922928913008203,0.2387689713322091,0.07587350563752016,0.7866957470010905,0.8026236125126135,0.7856578427499012,0.8203382838283828,0.7846485495958203,"[[3237 1085]
 [ 871 3977]]",0.15721627825133297,4.970987319946289,0.108925834
0,gender,income,k-anonymity,8,8,0.3818366461423122,0.23961045323847885,-0.008267442384330193,0.23369740995373373,0.08260504759826337,0.787350054525627,0.8040988547317661,0.7837837837837838,0.8254950495049505,0.7850288759787594,"[[3218 1104]
 [ 846 4002]]",0.15459721540716834,3.073776149716457,0.10762127
0,gender,income,k-anonymity,9,9,0.3767067968316357,0.23724980323526534,-0.007223801486029191,0.2263479915250573,0.08693123631280808,0.7866957470010905,0.8028623261439226,0.7849822625147812,0.821575907590759,0.7845732383858468,"[[3231 1091]
 [ 865 3983]]",0.15332522269194293,3.1153392671731903,0.10686743
0,gender,income,k-anonymity,10,10,0.3853462495194047,0.25464306824443705,-0.0012654036541428493,0.2317940070047996,0.09240432971868606,0.7849509269356597,0.8018886879646373,0.7816294555424991,0.8232260726072608,0.7826218285294517,"[[3207 1115]
 [ 857 3991]]",0.14191844841992038,3.2694180300853763,0.104864955
0,gender,income,k-anonymity,25,25,0.39914584159840644,0.2567450529605322,-0.011299402902686384,0.25007307476110174,0.06327758215962442,0.7904034896401309,0.8066398390342052,0.7873134328358209,0.8269389438943895,0.7881802539925441,"[[3239 1083]
 [ 839 4009]]",0.08582249839467225,4.210241561731991,0.07872326
0,gender,income,k-anonymity,50,50,0.41242689374239744,0.287262288708391,-0.005317276018523054,0.2573658494400484,0.06618207650764119,0.7856052344601963,0.8014943457189014,0.7850079113924051,0.8186881188118812,0.7835920927238489,"[[3235 1087]
 [ 879 3969]]",0.07218726564147228,4.3778879009420155,0.06830069
0,gender,income,k-anonymity,75,75,0.4266296610091649,0.2929855874441446,-0.011265832307990387,0.2873204479612574,0.06015387368044367,0.7791712104689203,0.7980452777500748,0.7725429619617686,0.8252887788778878,0.7763648892075695,"[[3144 1178]
 [ 847 4001]]",0.04886213102417548,2.7258363006740645,0.04760038
0,gender,income,k-anonymity,100,100,0.4343105474653217,0.30573920849475766,-0.009519614631443019,0.29358758161456305,0.058891035437271144,0.7779716466739367,0.7969684882329477,0.7714285714285715,0.8242574257425742,0.7751550895487513,"[[3138 1184]
 [ 852 3996]]",0.0489642867590978,2.8000429081480434,0.047711726
1,gender,income,k-anonymity,1,1,0.3652700670830442,0.2113729274732934,-0.015223802914642648,0.2107354281140456,0.04240022339404259,0.8115594329334788,0.8236014699877501,0.8076076076076076,0.8402416163299312,0.8101414078445263,"[[3408  961]
 [ 767 4034]]",1.5995722105996073,1.2319872851091656,0.2344185
1,gender,income,k-anonymity,2,2,0.38961658570437196,0.2575897703968796,-0.013806962757344388,0.23784598790977873,0.03914705883249803,0.7955288985823337,0.8077908764736033,0.7953169156237384,0.820662362007915,0.7942863194795812,"[[3355 1014]
 [ 861 3940]]",0.257685964499402,2.9491989612579346,0.1398522
1,gender,income,k-anonymity,3,3,0.40219465648854963,0.2836940233490155,-0.010134744390469574,0.2492188554971061,0.04207573632538564,0.7883315158124319,0.8008209338122114,0.7892394822006472,0.8127473443032701,0.7871244160289526,"[[3327 1042]
 [ 899 3902]]",0.2228832673615825,2.806823253631592,0.12911384
