SEED,protected_att,target,model_name,method,anon_parameter,SPD,EOD,MAD,PED,PRD,ACC,f1,Precision,Recall,ROC_AUC,CM,ASF,ALF,NCF
0,SEX,PINCP,XGBoost,k-anonymity,10,0.23035026463607022,0.17262022515806874,0.02558378982744347,0.12657841503687028,0.08211565803408782,0.7561429858816462,0.7598509052183173,0.745559038662487,0.7747014115092291,0.7562173883778793,"[[12329  4383]
 [ 3735 12843]]",0.1581144014404636,2.297888994216919,0.09872196
1,SEX,PINCP,XGBoost,k-anonymity,10,0.2272637598787059,0.1702067137291925,0.016871816241361137,0.13984090260141238,0.059379671068788165,0.7519975968759387,0.7549275706483021,0.7434083601286173,0.7668093831031779,0.7520525637009874,"[[12318  4389]
 [ 3867 12716]]",0.15477978232786652,2.6751470125034453,0.09899936
2,SEX,PINCP,XGBoost,k-anonymity,10,0.20468370221182458,0.14177911044477753,0.016424488083916944,0.11494841613408499,0.07634268712578296,0.7518474016221087,0.7559022545282629,0.7450489282385834,0.7670764617691155,0.7518199040714371,"[[12238  4377]
 [ 3884 12791]]",0.15531211926303362,2.430234658195876,0.098962665
3,SEX,PINCP,XGBoost,k-anonymity,10,0.22475257423865364,0.16912326539096278,0.024714298760054598,0.13128856850304133,0.06965945927091921,0.7534995494142385,0.760702204595824,0.7465086996336996,0.7754458977407848,0.7532663611351162,"[[12041  4429]
 [ 3777 13043]]",0.1570405958785049,3.289417028427124,0.09971538
4,SEX,PINCP,XGBoost,k-anonymity,10,0.2278821712361902,0.1687732190347001,0.022371531253505217,0.13084142791066655,0.07841288025333737,0.7519375187744067,0.7562717667197922,0.7412207115996529,0.7719467373621739,0.7519950544176232,"[[12220  4473]
 [ 3785 12812]]",0.16264928971927722,3.1794442388306354,0.10269989
5,SEX,PINCP,XGBoost,k-anonymity,10,0.24058442839557853,0.16976249897085383,0.013856577422604932,0.15367759405301057,0.06879164478360045,0.7496845899669571,0.755278846436228,0.736483390607102,0.7750587668012778,0.7497666431167896,"[[12098  4601]
 [ 3732 12859]]",0.15868060548399773,2.714538097381592,0.10153961
6,SEX,PINCP,XGBoost,k-anonymity,10,0.21875105417002755,0.15269216771211236,0.016926138325014328,0.1262203311303705,0.0740252327166866,0.7556323220186242,0.7601921999823129,0.746223739799757,0.7746935832732517,0.755633467114218,"[[12261  4385]
 [ 3750 12894]]",0.15310543983166858,2.4535961392998105,0.09784674
7,SEX,PINCP,XGBoost,k-anonymity,10,0.22774819796224033,0.1733679987685095,0.018289613414109618,0.14058239765947245,0.05984244736834521,0.7507960348452989,0.7542508442443273,0.7400453409289077,0.7690123829658714,0.7508940014620215,"[[12263  4472]
 [ 3824 12731]]",0.16916491942247386,3.453722727413618,0.10364473
8,SEX,PINCP,XGBoost,k-anonymity,10,0.2415669124084613,0.18379076211906498,0.021728997372726044,0.14815299015394462,0.0618319532072934,0.7534394713127065,0.7586450247000706,0.7478694417067656,0.7697356644191181,0.7533270905726346,"[[12182  4349]
 [ 3859 12900]]",0.15277229974405218,2.687230110168457,0.097918645
9,SEX,PINCP,XGBoost,k-anonymity,10,0.23584239529151008,0.17176870230305308,0.019249038607975666,0.1516921196775073,0.0670939623473541,0.7485431060378492,0.757397478626286,0.7319218058589593,0.7847105452798463,0.7485278895409929,"[[11852  4786]
 [ 3585 13067]]",0.15916550250520295,2.3509452590694617,0.10077274
