SEED,protected_att,target,model_name,method,anon_parameter,SPD,EOD,MAD,PED,PRD,ACC,f1,Precision,Recall,ROC_AUC,CM,ASF,ALF,NCF
0,gender,income,XGBoost,k-anonymity,10,0.3853462495194047,0.25464306824443705,-0.0012654036541428493,0.2317940070047996,0.09240432971868606,0.7849509269356597,0.8018886879646373,0.7816294555424991,0.8232260726072608,0.7826218285294517,"[[3207 1115]
 [ 857 3991]]",0.14191844841992038,3.2694180300853763,0.104864955
1,gender,income,XGBoost,k-anonymity,10,0.40131274577839465,0.27217043977106703,-0.016626185519315273,0.25312596245309404,0.029821314141752264,0.7911668484187568,0.8035695968817315,0.7916329830234439,0.8158716933972089,0.7899454598823993,"[[3338 1031]
 [ 884 3917]]",0.15452773018882104,3.609046498783157,0.107755326
2,gender,income,XGBoost,k-anonymity,10,0.3751773876736286,0.24462659870022008,-0.000891942779923327,0.22499541971286902,0.10419483435191845,0.7857142857142857,0.800365742151783,0.7650029131870266,0.8391563698338305,0.7844128587328223,"[[3266 1210]
 [ 755 3939]]",0.22296069957843395,3.1139824390411377,0.15381205
3,gender,income,XGBoost,k-anonymity,10,0.39325216760168397,0.2531174257941181,-0.01396012669112201,0.2552407638024076,0.06968759983600814,0.7828789531079607,0.7984205730484966,0.7719263899765074,0.8267980708743972,0.7810427527741675,"[[3236 1165]
 [ 826 3943]]",0.22626034076276788,2.436745840528627,0.15506683
4,gender,income,XGBoost,k-anonymity,10,0.39909885196682143,0.29309867113534127,0.009188858941197475,0.23950424721056854,0.08930185504887789,0.7853871319520175,0.79959266802444,0.7725304998032271,0.8286196707471507,0.7838946729187017,"[[3276 1156]
 [ 812 3926]]",0.22132529443740706,1.7710728645324707,0.15125255
5,gender,income,XGBoost,k-anonymity,10,0.36676387652987347,0.24774803616714114,0.00885391233539834,0.20145751250545404,0.1271349714888036,0.7850599781897492,0.79848686228402,0.7729612034837688,0.8257559737788116,0.7837404052636459,"[[3294 1147]
 [ 824 3905]]",0.22823384130043525,2.324068069458008,0.15537418
6,gender,income,XGBoost,k-anonymity,10,0.40986148744260237,0.28526792696953807,-0.0010358989775066663,0.257892517995566,0.07407441043804674,0.7872410032715377,0.803187733279532,0.7749659334241775,0.8335427135678392,0.7852283435841017,"[[3238 1156]
 [ 795 3981]]",0.22509346241789893,2.700590844178221,0.1520789
7,gender,income,XGBoost,k-anonymity,10,0.3933733973370189,0.2944173781380366,0.011270571878689184,0.23265037702157546,0.09378723240708708,0.7829880043620502,0.7977231144541573,0.7722889195040347,0.8248896363254152,0.7813548566852546,"[[3256 1157]
 [ 833 3924]]",0.22260323599991597,2.1071953773498535,0.15199424
8,gender,income,XGBoost,k-anonymity,10,0.37532315507828035,0.2652185405381948,0.0036744766243627103,0.22737075246255173,0.08437270902881266,0.7822246455834242,0.795577848295629,0.7702675916749256,0.8226079593564776,0.7809620993363584,"[[3287 1159]
 [ 838 3886]]",0.21747352631985106,1.9915987253189087,0.15004805
9,gender,income,XGBoost,k-anonymity,10,0.3953471412530452,0.2727606139894734,-0.00021522361280945645,0.23249679216476093,0.09995869510194622,0.7871319520174482,0.7996715927750411,0.7750149194350507,0.8259486962052152,0.7859813097015297,"[[3322 1131]
 [ 821 3896]]",0.22415834621797096,1.9775717732174767,0.1538235
10,gender,income,XGBoost,k-anonymity,10,0.3811926300804519,0.25926600506656583,-0.004567343488629416,0.2233384917728154,0.07311335615112002,0.7924754634678299,0.8031854379977247,0.7836528758829465,0.8237165888841748,0.7915710413002561,"[[3384 1072]
 [ 831 3883]]",0.1404876807819702,2.827599360641436,0.105053626
11,gender,income,XGBoost,k-anonymity,10,0.4072080313429602,0.2925444382262019,0.0015303543268616604,0.24548463840781767,0.1009888307758906,0.7824427480916031,0.7963662345616005,0.769883560292086,0.8247357293868922,0.7810615583871399,"[[3274 1166]
 [ 829 3901]]",0.22371935109825442,2.199926523688946,0.15552299
12,gender,income,XGBoost,k-anonymity,10,0.4106252144700345,0.26972490211926825,-0.017578696452023146,0.2600187642407184,0.062525119814687,0.790948745910578,0.8038874680306906,0.7746451104100947,0.835424197320859,0.7897738850942777,"[[3324 1143]
 [ 774 3929]]",0.14125251560633356,2.5270485547501447,0.10543859
13,gender,income,XGBoost,k-anonymity,10,0.3814651088175622,0.2807507593319345,0.010777333635547781,0.21559379761875325,0.1436883826272315,0.7721919302071973,0.7855896541106435,0.7602304330552244,0.8126990868549586,0.7710659747209112,"[[3254 1207]
 [ 882 3827]]",0.22582281397701268,2.156821814172127,0.15362844
14,gender,income,XGBoost,k-anonymity,10,0.4059064555019256,0.2844040809062357,9.73784514414211e-05,0.2439527918957481,0.07802800500025497,0.7880043620501636,0.8023184868822453,0.7864832535885168,0.8188044831880449,0.7863553665940224,"[[3281 1071]
 [ 873 3945]]",0.23041198065082888,2.4164168982052763,0.15547776
15,gender,income,XGBoost,k-anonymity,10,0.37858329321084,0.24864497416840392,-0.008037486926724013,0.22704355665290027,0.05663800078501713,0.7961832061068702,0.8078149100257069,0.788438378161381,0.8281678262702931,0.7950416723400258,"[[3373 1054]
 [ 815 3928]]",0.1553554465370935,3.5866071197834506,0.10872212
16,gender,income,XGBoost,k-anonymity,10,0.4083177583068254,0.2933782424907777,0.0033716244709263155,0.24567024809549126,0.09231560086107216,0.7866957470010905,0.8006928877114327,0.7732729777602834,0.8301288823156561,0.7852469969387611,"[[3285 1152]
 [ 804 3929]]",0.21917235387214692,1.9388920068740845,0.1510511
17,gender,income,XGBoost,k-anonymity,10,0.35907031824964836,0.24118606321294367,0.0073120024168894515,0.2016802986278423,0.12342377496839307,0.7805888767720829,0.795112016293279,0.7701716314855,0.8217217427909914,0.7790437181934138,"[[3254 1165]
 [ 847 3904]]",0.22184389620243616,2.128441572189331,0.15089501
18,gender,income,XGBoost,k-anonymity,10,0.3883742062892693,0.25871319691544414,-0.006378234676742367,0.23791379797371498,0.08133937177930362,0.784514721919302,0.7995536620004058,0.7793157998813526,0.820870651947511,0.7827173126984064,"[[3253 1116]
 [ 860 3941]]",0.22557250266122636,2.4906604290008545,0.15460269
19,gender,income,XGBoost,k-anonymity,10,0.3843143540761742,0.2628231276758989,-0.008662503142501943,0.22863080471776126,0.08893690066606508,0.7838604143947655,0.7943556754513384,0.7733333333333333,0.8165529010238908,0.7831091145012359,"[[3360 1122]
 [ 860 3828]]",0.2194975521926557,1.9876345861805436,0.15167205
20,gender,income,XGBoost,k-anonymity,10,0.414519085686193,0.29027540077263836,-0.000891066324622658,0.2498699538237318,0.07350277411817052,0.7941112322791712,0.8080910754218337,0.7832512315270936,0.8345580516481209,0.7924775735889799,"[[3307 1100]
 [ 788 3975]]",0.21955473950459406,2.2027640342712402,0.14994146
