SEED,protected_att,target,method,anon_parameter,fraction,SPD,EOD,MAD,PED,PRD,ACC,f1,Precision,Recall,ROC_AUC,CM,ASF,ALF,NCF
0,gender,income,k-anonymity,10,0.1,0.48291676221050217,0.5219494047619048,0.05816708705954288,0.24987049212990634,0.29470404984423676,0.7470010905125409,0.7573221757322175,0.7418032786885246,0.7735042735042735,0.746440332743228,"[[323 126]
 [106 362]]",0.42880243,1.34075927734375,0.19869375
1,gender,income,k-anonymity,10,0.1,0.3963133640552996,0.2583522005632558,-0.030115611609669357,0.28930547713156407,0.052987197724039814,0.7568157033805889,0.7789890981169475,0.7557692307692307,0.803680981595092,0.7534760048162377,"[[301 127]
 [ 96 393]]",0.24926251,2.729391574859619,0.19871047
2,gender,income,k-anonymity,10,0.1,0.40938959487346577,0.2991594809999184,0.0121212121212122,0.23269709543568468,0.09268292682926838,0.7960741548527808,0.8097660223804679,0.7850098619329389,0.8361344537815126,0.7944844604508471,"[[332 109]
 [ 78 398]]",0.2283909,3.286695540576538,0.17912576
3,gender,income,k-anonymity,10,0.1,0.3668485025597731,0.2274038324242511,-0.012815101037979892,0.23386755017914243,0.07810683782281291,0.787350054525627,0.7995889003083249,0.7553398058252427,0.8493449781659389,0.787417587122185,"[[333 126]
 [ 69 389]]",0.23649463,3.3457611456040692,0.18627055
4,gender,income,k-anonymity,10,0.1,0.37218090942338167,0.23909663693642091,-0.028908492458413204,0.2728721258572005,0.005244755244755206,0.7808069792802618,0.7951070336391438,0.7543520309477756,0.8405172413793104,0.7800820202481542,"[[326 127]
 [ 74 390]]",0.25841072,3.639513552956994,0.20254812
5,gender,income,k-anonymity,10,0.1,0.4165683775985172,0.3685914732865623,0.028180879967985795,0.22788469153401442,0.05486005089058521,0.7906215921483097,0.7944325481798715,0.7927350427350427,0.796137339055794,0.7905298668671431,"[[354  97]
 [ 95 371]]",0.2322141,3.5599389542692736,0.18389818
6,gender,income,k-anonymity,10,0.1,0.4544414834554742,0.30683303624480096,-0.04222740395292024,0.32230172927847345,-0.014571582057480548,0.7884405670665212,0.7999999999999999,0.766798418972332,0.8362068965517241,0.7878606226687981,"[[335 118]
 [ 76 388]]",0.23090705,3.6670942306518555,0.18447183
7,gender,income,k-anonymity,10,0.1,0.4802264110642388,0.3508042895442359,-0.022635766540289426,0.33981532440530793,0.0067533129459735886,0.7829880043620502,0.7971457696228338,0.7696850393700787,0.8266384778012685,0.7815624821438775,"[[327 117]
 [ 82 391]]",0.22906017,3.3251484055620635,0.18208076
8,gender,income,k-anonymity,10,0.1,0.408160688602703,0.2949548252978331,-0.010825291217900102,0.2613655533063428,0.03758949880668261,0.7829880043620502,0.7954779033915724,0.7818181818181819,0.8096234309623431,0.7818048817681875,"[[331 108]
 [ 91 387]]",0.23723081,4.848114490509033,0.18759012
9,gender,income,k-anonymity,10,0.1,0.3915792176117583,0.35941876750700286,0.032326733202828306,0.22639824661092622,0.05404089581304772,0.7731733914940022,0.7791932059447984,0.7758985200845666,0.7825159914712153,0.7729544243070363,"[[342 106]
 [102 367]]",0.24256329,3.24723226620403,0.18991674
10,gender,income,k-anonymity,10,0.1,0.5354436764832144,0.5781500053344714,0.049669442774963546,0.3340526284241443,0.09692671394799057,0.7437295528898582,0.7491995731056564,0.7468085106382979,0.7516059957173448,0.7435807756364501,"[[331 119]
 [116 351]]",0.45767063,1.3149001615348737,0.19980499
11,gender,income,k-anonymity,10,0.1,0.4025285481239804,0.3074681238615665,0.011451446724478398,0.19554277498202732,0.12578947368421056,0.8037077426390403,0.8068669527896997,0.7899159663865546,0.8245614035087719,0.8038208319062297,"[[361 100]
 [ 80 376]]",0.25242496,3.1232787219082785,0.20069942
12,gender,income,k-anonymity,10,0.1,0.43318343326671105,0.3495250431778929,0.01659449256051526,0.2502903600464576,0.05900765900765903,0.7938931297709924,0.8073394495412843,0.7935871743486974,0.8215767634854771,0.7923975771450374,"[[332 103]
 [ 86 396]]",0.24565953,3.7698103665410287,0.19417143
13,gender,income,k-anonymity,10,0.1,0.3855957256963481,0.3083226094492739,0.029154707001644797,0.19893888122989511,0.13381274270099242,0.781897491821156,0.7942386831275721,0.7813765182186235,0.8075313807531381,0.780758856663585,"[[331 108]
 [ 92 386]]",0.23713243,3.061720383672419,0.18878014
14,gender,income,k-anonymity,10,0.1,0.4035189832861643,0.23876436454659233,-0.019314358946974974,0.2503580806875149,0.09541675664003446,0.7917121046892039,0.804503582395087,0.7721021611001965,0.8397435897435898,0.7906958483239107,"[[333 116]
 [ 75 393]]",0.23292255,3.2079463457700554,0.18361095
15,gender,income,k-anonymity,10,0.1,0.3887325036294925,0.2387293298520453,-0.020984562188999578,0.2404542462146149,0.08403214535290005,0.7862595419847328,0.7995910020449898,0.7742574257425743,0.8266384778012685,0.7849408605222559,"[[330 114]
 [ 82 391]]",0.24883102,2.887559652328491,0.19824675
16,gender,income,k-anonymity,10,0.1,0.4323338735818476,0.32847560681368526,-0.0001458670988655486,0.2825928291214305,0.04905779889152806,0.7699018538713195,0.7875125881168179,0.7883064516129032,0.7867203219315896,0.7683601609657948,"[[315 105]
 [106 391]]",0.23681024,3.5714669602739733,0.18755998
17,gender,income,k-anonymity,10,0.1,0.3910804970286332,0.2208282360290481,-0.045467314964883876,0.2753391029375052,-0.018393964206339986,0.7960741548527808,0.8074150360453141,0.7919191919191919,0.8235294117647058,0.794984660530879,"[[338 103]
 [ 84 392]]",0.24774031,3.613506587202256,0.19476068
18,gender,income,k-anonymity,10,0.1,0.41549858704585624,0.21408167151835023,-0.06913342565384306,0.3118415507796039,0.03654292343387466,0.7611777535441657,0.7820895522388059,0.7813121272365805,0.7828685258964143,0.7589041424662795,"[[305 110]
 [109 393]]",0.22013673,2.9468452705459143,0.17758481
19,gender,income,k-anonymity,10,0.1,0.42430709326829474,0.35856637737062036,0.020896847555170406,0.24643857543017206,0.08562623816861104,0.781897491821156,0.791231732776618,0.773469387755102,0.8098290598290598,0.781306512097158,"[[338 111]
 [ 89 379]]",0.24076162,3.2101563862239844,0.19072255
20,gender,income,k-anonymity,10,0.1,0.41803812676883645,0.35547122074636306,0.034527687296416976,0.1996673530809441,0.17245989304812837,0.7884405670665212,0.7962184873949579,0.7814432989690722,0.8115631691648822,0.7880038068046633,"[[344 106]
 [ 88 379]]",0.23224549,3.236025250597589,0.1836407
21,gender,income,k-anonymity,10,0.1,0.3865960970224373,0.2635804120952636,-0.032232576766135224,0.2558651026392962,0.019670388091440727,0.7742639040348964,0.7804878048780489,0.7796610169491526,0.7813163481953291,0.7740662458465435,"[[342 104]
 [103 368]]",0.25175804,3.7557228667199594,0.20191734
22,gender,income,k-anonymity,10,0.1,0.308009927797834,0.2021874076263671,0.0361123646209387,0.10786845730027547,0.22899050005219745,0.7797164667393675,0.7955465587044533,0.7782178217821782,0.8136645962732919,0.7778000400721298,"[[322 112]
 [ 90 393]]",0.243928,3.845384723542883,0.1945975
23,gender,income,k-anonymity,10,0.1,0.43724954162686785,0.351611793048067,0.00108143122207216,0.25982137407686207,0.08221288515406155,0.7808069792802618,0.7904066736183526,0.7766393442622951,0.8046709129511678,0.7801381470585436,"[[337 109]
 [ 92 379]]",0.24498962,3.592624341051654,0.19438227
24,gender,income,k-anonymity,10,0.1,0.41745531019978965,0.323170731707317,-0.004716088328075685,0.26703121439963545,0.06348101265822792,0.7666303162486369,0.7761506276150629,0.7745302713987474,0.7777777777777778,0.7661616161616162,"[[332 108]
 [106 371]]",0.24558948,3.7867584572642294,0.19535989
25,gender,income,k-anonymity,10,0.1,0.4069617195312412,0.3604166666666666,0.042651206166222866,0.17710600245321093,0.2141379080168213,0.7895310796074155,0.7983281086729361,0.7748478701825557,0.8232758620689655,0.789121374743092,"[[342 111]
 [ 82 382]]",0.21993428,3.3696472819417393,0.17783052
26,gender,income,k-anonymity,10,0.1,0.3560786284693137,0.23896903632706779,-0.01558049924610494,0.22321183258540161,0.03230354681037728,0.7764449291166848,0.7901740020470829,0.7991718426501035,0.7813765182186235,0.7760310487074205,"[[326  97]
 [108 386]]",0.22963941,3.2692885549667507,0.18228418
27,gender,income,k-anonymity,10,0.1,0.36528764420998966,0.2673686495874945,0.01048396927953188,0.18675906555090657,0.1358108108108108,0.7764449291166848,0.7893114080164438,0.7885010266940452,0.7901234567901234,0.7755721692303286,"[[328 103]
 [102 384]]",0.24055602,3.1099896519853996,0.18974052
28,gender,income,k-anonymity,10,0.1,0.4192230496074868,0.28156226644891624,-0.04238073182028723,0.3159739840398542,-0.057338483146067376,0.7764449291166848,0.7943831494483451,0.7779960707269156,0.8114754098360656,0.774036073216401,"[[316 113]
 [ 92 396]]",0.23035535,3.21854273783527,0.1814767
