SEED,protected_att,target,method,anon_parameter,supp_level,SPD,EOD,MAD,PED,PRD,ACC,f1,Precision,Recall,ROC_AUC,CM,ASF,ALF,NCF
0,SEX,PINCP,k-anonymity,10,10,0.2456721973802456,0.1783346078715753,0.01803591604038901,0.15266435219130323,0.06827430915818689,0.7550916191048362,0.7607055853952042,0.740810609958269,0.7816986367474967,0.7551982891731739,"[[12178  4534]
 [ 3619 12959]]",0.1419222,2.7478139400482178,0.09403668
1,SEX,PINCP,k-anonymity,10,10,0.2590452838281261,0.19920757423153157,0.013290236604547534,0.17738379131593485,0.042283773276941106,0.749324121357765,0.7531868326875869,0.7390875319247736,0.7678345293372731,0.7493928138396428,"[[12212  4495]
 [ 3850 12733]]",0.14247952,2.436892032623291,0.096366644
2,SEX,PINCP,k-anonymity,10,10,0.23729659855582358,0.17116441779110447,0.012863186517162672,0.15456859967556763,0.05946789819634424,0.7484229498347852,0.7539297781695313,0.7390552995391705,0.7694152923538231,0.748385046116725,"[[12085  4530]
 [ 3845 12830]]",0.13803755,2.4932408728841198,0.093406826
3,SEX,PINCP,k-anonymity,10,10,0.256667725517145,0.19682174594199597,0.019397772486672737,0.1684108750663038,0.04837858648455817,0.7543106037849204,0.7610505711531158,0.7481762306852777,0.7743757431629013,0.7540974040647535,"[[12086  4384]
 [ 3795 13025]]",0.14497249,2.5576587425854083,0.09606755
4,SEX,PINCP,k-anonymity,10,10,0.272496595962974,0.2118577820047648,0.01874377226062862,0.17921721061051935,0.05363685274553287,0.7521177530790027,0.7562618147448015,0.7417579234022829,0.7713442188347291,0.7521730379502826,"[[12236  4457]
 [ 3795 12802]]",0.14390127,2.3011582577306946,0.09664862
5,SEX,PINCP,k-anonymity,10,10,0.2883549230380687,0.22107481072270774,0.012882480468001667,0.20178456395677702,0.045951429547535616,0.7481225593271252,0.7524577096802764,0.7374146510820507,0.768127297932614,0.7481872491818887,"[[12161  4538]
 [ 3847 12744]]",0.14565194,2.444967510561344,0.098543525
6,SEX,PINCP,k-anonymity,10,10,0.2628379482579662,0.19445072775201622,0.011615698874144154,0.17525319824297214,0.047161224958158665,0.7551216581556023,0.7589164251493464,0.7472917880023296,0.7709084354722423,0.7551226065382357,"[[12307  4339]
 [ 3813 12831]]",0.13927607,3.179273338965912,0.09395485
7,SEX,PINCP,k-anonymity,10,10,0.26460674539617823,0.21591459001489188,0.019698119206643994,0.1748795634889383,0.043992595228547926,0.7486933012916792,0.7506408345752608,0.7409238011179758,0.7606161280579885,0.748757421662696,"[[12332  4403]
 [ 3963 12592]]",0.14959754,3.8347980435635365,0.09885119
8,SEX,PINCP,k-anonymity,10,10,0.2571741391020065,0.19342583699003169,0.017049535233887303,0.1721358013304228,0.051736307964185935,0.7508861519975969,0.757946352996118,0.7418580733630442,0.774747896652545,0.7507215981962139,"[[12013  4518]
 [ 3775 12984]]",0.13585398,3.150592565536499,0.09284061
9,SEX,PINCP,k-anonymity,10,10,0.26275143445279125,0.19804550555416012,0.013191979567065859,0.18121427127018877,0.04809160846183813,0.7475217783118053,0.753280300584143,0.7367786391042205,0.7705380735046842,0.747512094812205,"[[12054  4584]
 [ 3821 12831]]",0.13765231,2.347576933245887,0.09499769
10,SEX,PINCP,k-anonymity,10,10,0.27639557125705944,0.22252137137300287,0.019271345143136998,0.18083838834026494,0.044332314476918544,0.7536497446680684,0.7548793974355142,0.7471305170985683,0.7627906976744186,0.753698904259976,"[[12461  4274]
 [ 3927 12628]]",0.14028056,3.355528263367003,0.09534483
11,SEX,PINCP,k-anonymity,10,10,0.27466049438756024,0.21236640593389278,0.014127986265034975,0.18154479368763915,0.04768976984027917,0.7555422048663262,0.7558941748155258,0.7417873542917697,0.7705479452054794,0.7558017798999412,"[[12552  4386]
 [ 3752 12600]]",0.13931069,2.862368583679199,0.0943432
12,SEX,PINCP,k-anonymity,10,10,0.2749278092558912,0.22592423192646294,0.020109452232615732,0.1831849849619018,0.04591299098929469,0.7474316611595073,0.7488199796857262,0.7372352941176471,0.7607745538424183,0.7475673435244441,"[[12349  4467]
 [ 3941 12533]]",0.13630539,2.726829617599769,0.09275156
13,SEX,PINCP,k-anonymity,10,10,0.2652333877405284,0.2155582163412857,0.023775139881459517,0.17268053045985252,0.04610029901737167,0.7525683388404927,0.7572569475142192,0.745632870988335,0.7692491917135672,0.7525110197776901,"[[12205  4383]
 [ 3854 12848]]",0.13610433,2.7806268665634386,0.09281077
14,SEX,PINCP,k-anonymity,10,10,0.2719095893287153,0.21658597691087766,0.018823114317147893,0.18436961572857846,0.04341931598303417,0.750225292880745,0.7549149644825655,0.7396753884364351,0.7707957144576862,0.7502635324507189,"[[12169  4507]
 [ 3808 12806]]",0.14009999,3.5667556972810086,0.09401016
15,SEX,PINCP,k-anonymity,10,10,0.2621470361388476,0.20359817753289877,0.019798913391988804,0.1717442325972613,0.05116921432211685,0.7522078702313006,0.7574893429369396,0.7445529676934636,0.7708831977022499,0.7521323938806822,"[[12158  4420]
 [ 3829 12883]]",0.13692512,2.839423607937322,0.09325033
16,SEX,PINCP,k-anonymity,10,10,0.2802892373144522,0.228843548117042,0.022578338119451202,0.1874818103244379,0.04336830212691356,0.7506158005407029,0.7547415066469719,0.7433659217877095,0.766470658826353,0.7505957721465741,"[[12214  4410]
 [ 3892 12774]]",0.13979031,2.4372816112668976,0.09476507
17,SEX,PINCP,k-anonymity,10,10,0.26814023926873226,0.2034846063573834,0.012569931461739459,0.18546741857354587,0.040758444336591704,0.7534394713127065,0.7586450247000706,0.7397213142955444,0.7785623755205504,0.753553659502396,"[[12182  4539]
 [ 3669 12900]]",0.14292502,2.781460762023926,0.097260185
18,SEX,PINCP,k-anonymity,10,10,0.24713966275706467,0.1930061269264408,0.01808181542898457,0.16165992875713026,0.050555274996504584,0.7475818564133373,0.7516036536699282,0.7411099452022852,0.7623988005997001,0.7475551029781529,"[[12174  4441]
 [ 3962 12713]]",0.13868757,2.3783901570174133,0.09388486
19,SEX,PINCP,k-anonymity,10,10,0.2623836831311035,0.20464181633331313,0.018028466867601733,0.1716802034198328,0.05423131543515414,0.7488134574947432,0.7521342186388428,0.7404575697443679,0.7641850379472352,0.748853065474097,"[[12241  4447]
 [ 3915 12687]]",0.1391773,2.571175068315458,0.09357734
20,SEX,PINCP,k-anonymity,10,10,0.251420923003414,0.1953651565270379,0.016427811451035335,0.16767614882465764,0.051522943442057434,0.7468308801441874,0.7504884836283972,0.73320992653439,0.7686010551209751,0.7470304519607495,"[[12187  4612]
 [ 3816 12675]]",0.13883725,2.5893754959106445,0.09331929
21,SEX,PINCP,k-anonymity,10,10,0.2839372815175368,0.22770570486973973,0.015041644737804782,0.19673695894726384,0.03427987803457366,0.7511565034544908,0.7530702277333969,0.7406191369606003,0.7659471258792142,0.7512912198035195,"[[12374  4424]
 [ 3860 12632]]",0.14035685,2.574278593652406,0.09520416
22,SEX,PINCP,k-anonymity,10,10,0.26057550744772423,0.20207129204422558,0.019336648558354486,0.1730101677438952,0.049507223783586296,0.750435566236107,0.7560775102759836,0.743332178732248,0.7692675349504122,0.7503297558753994,"[[12106  4446]
 [ 3862 12876]]",0.13423039,2.8005429383587765,0.091801666
23,SEX,PINCP,k-anonymity,10,10,0.254239612921233,0.192245256608353,0.013395042728606699,0.16888870860746605,0.048433091048458055,0.749894863322319,0.7532305868405453,0.7442745856029989,0.7624047519049619,0.7498783068915414,"[[12257  4366]
 [ 3960 12707]]",0.1408726,3.0788436347652155,0.094244674
24,SEX,PINCP,k-anonymity,10,10,0.27658145429875786,0.21821339747862145,0.015805037443924475,0.19209285786085004,0.03548248462958725,0.7510063082006608,0.7555083620918502,0.7431240570964373,0.7683124362589238,0.7509813189055885,"[[12194  4427]
 [ 3862 12807]]",0.14043732,2.427309513092041,0.094902724
25,SEX,PINCP,k-anonymity,10,10,0.25506278578249797,0.1945115586587196,0.01903680275630204,0.1602145913664984,0.060134680380057426,0.7520276359267047,0.7550663145714032,0.7470643494598403,0.7632415571951293,0.7520100920339929,"[[12311  4308]
 [ 3947 12724]]",0.14114505,3.066523790359497,0.095554404
26,SEX,PINCP,k-anonymity,10,10,0.26680829947627,0.1995218962568991,0.015685281103217763,0.17659719783007452,0.06309121827754727,0.7486632622409132,0.7533967991983259,0.733865411116215,0.773996245382426,0.7488625799839351,"[[12142  4635]
 [ 3732 12781]]",0.13465667,2.4431769557628384,0.09200752
27,SEX,PINCP,k-anonymity,10,10,0.27834599220213685,0.22171095700474386,0.018779106356198838,0.1851932920063298,0.04518462041399096,0.7510363472514269,0.7541090607013589,0.7462712859659425,0.7621132165987047,0.7510156789626483,"[[12293  4321]
 [ 3967 12709]]",0.14480816,2.4710668622080183,0.09729284
28,SEX,PINCP,k-anonymity,10,10,0.27652122182659167,0.21535640237708098,0.01717221726681528,0.18553930457453988,0.04811161759785876,0.7512766596575549,0.7550295857988165,0.7428105716614274,0.7676573216219468,0.7512992631627852,"[[12250  4418]
 [ 3862 12760]]",0.14949703,2.7911269664764404,0.0989798
29,SEX,PINCP,k-anonymity,10,10,0.2522503445208052,0.2039250493216821,0.02297578897659247,0.15882113227938127,0.057078209400019064,0.7491138480024031,0.7511026344021934,0.7386003985464775,0.7640354068145992,0.7492479963341869,"[[12336  4460]
 [ 3892 12602]]",0.1412022,2.6902501583099365,0.094821975
30,SEX,PINCP,k-anonymity,10,10,0.26661433913554416,0.20369179240741597,0.01663984106048444,0.1727736299201633,0.05383706582150238,0.7539801742264944,0.7569444444444444,0.7458330896543658,0.76839187805025,0.7540216144579411,"[[12347  4346]
 [ 3844 12753]]",0.14452128,2.4932868493303557,0.09659538
31,SEX,PINCP,k-anonymity,10,10,0.2752810882344835,0.22389962402887842,0.02455068127610105,0.17959194732003672,0.04997330734994376,0.7539200961249625,0.7578910036647358,0.7403429759223974,0.7762910940243386,0.7540908161947842,"[[12276  4497]
 [ 3695 12822]]",0.14242816,2.8520898818969727,0.09519457
32,SEX,PINCP,k-anonymity,10,10,0.25418647264512545,0.20136368244955893,0.01837659688750204,0.16926751966365322,0.04891288553144191,0.7478522078702313,0.751994327246942,0.7346302603475149,0.7701991163832234,0.7480148083854447,"[[12170  4597]
 [ 3797 12726]]",0.14184758,2.7966769162098273,0.09519612
33,SEX,PINCP,k-anonymity,10,10,0.258531619787549,0.20597524761282437,0.025480010481795046,0.16337392469461398,0.06067072532898177,0.7507960348452989,0.756215104319718,0.7398654476453338,0.773303684115632,0.750804145222791,"[[12127  4524]
 [ 3772 12867]]",0.14497304,2.8155873402284373,0.0962053
34,SEX,PINCP,k-anonymity,10,10,0.27349517404094575,0.21573036890796304,0.013728070110734292,0.1892145850763549,0.043460261089589336,0.7460198257735056,0.7486099961347487,0.7335819590932929,0.7642666342884895,0.7462075233518793,"[[12246  4572]
 [ 3883 12589]]",0.14516994,3.493551731109619,0.096876316
35,SEX,PINCP,k-anonymity,10,10,0.25241220590866525,0.18946642572997952,0.012156645312113579,0.16955407769569986,0.04659317014075204,0.7520877140282367,0.7556766038070991,0.7397125304277269,0.7723449319213314,0.7522327105177788,"[[12274  4491]
 [ 3762 12763]]",0.14055528,2.2660398483276367,0.09544146
36,SEX,PINCP,k-anonymity,10,10,0.2833387812622831,0.22397036565502193,0.020798851050395806,0.18781083436831755,0.048530728252685895,0.7535596275157705,0.7583505154639175,0.7464339556998725,0.7706537356321839,0.7534988200649766,"[[12213  4373]
 [ 3831 12873]]",0.13703749,2.287797451019287,0.092725255
37,SEX,PINCP,k-anonymity,10,10,0.2579114388305851,0.1964909803023428,0.011266135775239383,0.1724692600794701,0.04028674341574179,0.7522078702313006,0.7539594953321204,0.7494218796323747,0.7585523946705077,0.7522013837677773,"[[12402  4226]
 [ 4023 12639]]",0.13757811,3.3088808059692383,0.09395944
38,SEX,PINCP,k-anonymity,10,10,0.26899703796494007,0.20374798297660146,0.018529340945401818,0.17594620915466183,0.06049696155909645,0.7518173625713428,0.7567137809187279,0.7392129789437349,0.7750633369525878,0.7519105578970694,"[[12179  4533]
 [ 3729 12849]]",0.14172474,2.839311845289036,0.09496283
39,SEX,PINCP,k-anonymity,10,10,0.24882162623315873,0.2041182351649009,0.026802192121521018,0.1545663801219327,0.05903820095248924,0.7477620907179333,0.7516488716689834,0.7399406044371979,0.7637336218295468,0.7477688046692773,"[[12186  4466]
 [ 3931 12707]]",0.14345586,2.6900694735033555,0.095115006
0,SEX,PINCP,k-anonymity,10,20,0.2299233169765803,0.16955463799105341,0.021704175900294165,0.13019925507681468,0.07923850215019668,0.7538600180234305,0.7571572520893841,0.7442321137264041,0.7705392689106044,0.7539268867291173,"[[12322  4390]
 [ 3804 12774]]",0.15070996,2.947404643519351,0.10087204
1,SEX,PINCP,k-anonymity,10,20,0.23782938094722977,0.1803340807520024,0.012609661103078595,0.1504853853368186,0.04741420605039848,0.7534094322619406,0.7532092715629979,0.7510191846522781,0.7554121690888259,0.7534168644570245,"[[12554  4153]
 [ 4056 12527]]",0.14836407,2.612334163284651,0.10211797
2,SEX,PINCP,k-anonymity,10,20,0.24302340549394524,0.17936031984007994,0.011275532526513254,0.15570888620119655,0.05130885071048019,0.7522379092820667,0.7538792074480783,0.7502524202648928,0.7575412293853073,0.7522283336213326,"[[12410  4205]
 [ 4043 12632]]",0.14449589,2.5827697419491686,0.0986349
3,SEX,PINCP,k-anonymity,10,20,0.24610660997459144,0.1871122716167697,0.019179175882227395,0.15541181279735453,0.051670050866748585,0.7559627515770502,0.7612554366991889,0.7526731752673175,0.7700356718192628,0.7558132214591153,"[[12214  4256]
 [ 3868 12952]]",0.15115403,2.399290503511377,0.101893894
4,SEX,PINCP,k-anonymity,10,20,0.24814226359153446,0.18553065826255533,0.01850389191307622,0.15367176841358318,0.06344721153821353,0.7548212676479423,0.7586920529801324,0.744819179195449,0.7730915225643189,0.7548738029762827,"[[12297  4396]
 [ 3766 12831]]",0.15693693,2.627264561835442,0.1052017
5,SEX,PINCP,k-anonymity,10,20,0.24880462586810198,0.17279013566305668,0.007728299361704716,0.16571979519817823,0.05704556767797764,0.7521778311805347,0.7565509915014165,0.7411111753483263,0.7726478211078296,0.7522440255308596,"[[12221  4478]
 [ 3772 12819]]",0.15311213,2.799845092335275,0.1048513
6,SEX,PINCP,k-anonymity,10,20,0.24224996805271315,0.17760469682074298,0.01690446933725187,0.14695662901262174,0.06035709748525098,0.7596575548212676,0.7629263089276719,0.7526454253142356,0.773491949050709,0.7596583859154783,"[[12415  4231]
 [ 3770 12874]]",0.14683767,2.4125945162201266,0.100437775
7,SEX,PINCP,k-anonymity,10,20,0.2578236605088025,0.20988205162224205,0.020791429680013573,0.16419275415223755,0.045085594025220166,0.7535596275157705,0.7543565482963052,0.7479071424330582,0.760918151615826,0.7535992012934224,"[[12489  4246]
 [ 3958 12597]]",0.1605287,3.1155991554260254,0.10681359
8,SEX,PINCP,k-anonymity,10,20,0.24956793565065621,0.1898359281484271,0.019424497544736297,0.15833670862725124,0.055344755560933434,0.7536797837188345,0.7586957801188865,0.7484758752830517,0.7691986395369652,0.7535727636012816,"[[12199  4332]
 [ 3868 12891]]",0.1497263,2.2809860706329346,0.102011636
9,SEX,PINCP,k-anonymity,10,20,0.24734172452321218,0.18327287210736132,0.01304753303466133,0.16226316391035614,0.0524691906070498,0.7508861519975969,0.7547538074818867,0.7435180329779176,0.7663343742493394,0.7508796525652275,"[[12236  4402]
 [ 3891 12761]]",0.14796972,3.4326813220977783,0.10266015
10,SEX,PINCP,k-anonymity,10,20,0.247044793377039,0.19143851749862728,0.018421767991880333,0.15077657150978263,0.05697399396764524,0.7550916191048362,0.7555835356896603,0.7500297583620997,0.7612201751736636,0.7551245781754184,"[[12535  4200]
 [ 3953 12602]]",0.14977244,2.9563837717028676,0.102607064
11,SEX,PINCP,k-anonymity,10,20,0.24890075022531333,0.18804684913490877,0.014004771935605786,0.15197374074400735,0.0576903598908729,0.757404626013818,0.7551540140674267,0.7487974987974988,0.761619373776908,0.7574775343320719,"[[12760  4178]
 [ 3898 12454]]",0.14801799,3.2997300435344115,0.101455875
12,SEX,PINCP,k-anonymity,10,20,0.26051573082054824,0.2082005210926312,0.0178489942471588,0.1697272701702433,0.04873509627960659,0.749954941423851,0.7508828634704017,0.7405548996458088,0.7615029743838776,0.7500723720634898,"[[12421  4395]
 [ 3929 12545]]",0.14642487,2.7877656637763373,0.1000036
13,SEX,PINCP,k-anonymity,10,20,0.24228083425262997,0.18972794498398327,0.021697655509738012,0.14946973986884185,0.052989130091452785,0.7559026734755182,0.7596853374341989,0.7505843852267414,0.7690096994371931,0.7558576348644851,"[[12320  4268]
 [ 3858 12844]]",0.14801793,2.4431120377025004,0.10037505
14,SEX,PINCP,k-anonymity,10,20,0.24185393489564333,0.18379660187297053,0.01650680337896171,0.153751922101973,0.05307664352052055,0.7531691198558126,0.756425077812361,0.7452251620816541,0.7679667750090285,0.7531966280897866,"[[12314  4362]
 [ 3855 12759]]",0.1494408,2.4896193991603317,0.100909986
15,SEX,PINCP,k-anonymity,10,20,0.2356063488200663,0.17818236650732455,0.018442275778333572,0.1410652189845974,0.05975403102976329,0.7548212676479423,0.7568952165366057,0.7535286442889337,0.7602920057443753,0.7547991576556357,"[[12422  4156]
 [ 4006 12706]]",0.14578919,2.544861974649091,0.10050464
16,SEX,PINCP,k-anonymity,10,20,0.2642325434016438,0.21177200960853781,0.020082800667721057,0.17013552022691925,0.045709037149629594,0.7530189246019826,0.7548891008824231,0.7501481218153809,0.7596903876155047,0.7530104969838831,"[[12407  4217]
 [ 4005 12661]]",0.14461297,2.8838180024812674,0.10028336
17,SEX,PINCP,k-anonymity,10,20,0.24621512473673923,0.1846249806578124,0.012715150067669878,0.15863729891913383,0.048676636029184595,0.7549714629017723,0.7569065713008494,0.7476156835040622,0.7664312873438349,0.7550235498976217,"[[12434  4287]
 [ 3870 12699]]",0.15665483,2.7428922959446136,0.106609486
18,SEX,PINCP,k-anonymity,10,20,0.23773690706653544,0.1801678431049445,0.013835721416478597,0.15203199405881967,0.046777493842934614,0.7528086512466206,0.754497449207912,0.7507124198527666,0.7583208395802099,0.752798698453963,"[[12416  4199]
 [ 4030 12645]]",0.14574681,2.291350346482416,0.1005762
19,SEX,PINCP,k-anonymity,10,20,0.2502828470494442,0.19806260613570592,0.021267702639669483,0.1530665778685958,0.06193182027862354,0.7496845899669571,0.7508148679764362,0.7455312073163489,0.7561739549451874,0.749701311125518,"[[12403  4285]
 [ 4048 12554]]",0.15346472,3.094449132129743,0.10334359
20,SEX,PINCP,k-anonymity,10,20,0.2353023516237402,0.17713183515699038,0.014118947081643296,0.15005867397814743,0.05336471582465685,0.7515470111144488,0.753214978367895,0.7414238721804511,0.7653871808865442,0.7516738868894892,"[[12397  4402]
 [ 3869 12622]]",0.14911498,2.3406965732574463,0.10079012
21,SEX,PINCP,k-anonymity,10,20,0.25412311766785767,0.19709719875673093,0.0140819587920753,0.16402443261134586,0.04445304776154724,0.7549113848002403,0.7546681901554559,0.7485237101103489,0.7609143827310211,0.7549660614690943,"[[12582  4216]
 [ 3943 12549]]",0.15210095,3.0429177284240723,0.10263617
22,SEX,PINCP,k-anonymity,10,20,0.2470996098356668,0.186067888055359,0.016087544941067566,0.1601073045971539,0.05081304780222651,0.7524181435866627,0.7566434392346758,0.7479859894921191,0.7655036444019596,0.752344620654339,"[[12235  4317]
 [ 3925 12813]]",0.14426695,2.9285671710968018,0.099761285
23,SEX,PINCP,k-anonymity,10,20,0.24487090299312797,0.1823277327179178,0.013438288667262266,0.15695802757794874,0.05048024434663556,0.7540402523280264,0.756512430117759,0.7499557809091445,0.763184736305274,0.7540281499008172,"[[12382  4241]
 [ 3947 12720]]",0.14888144,2.448792927119587,0.10053536
24,SEX,PINCP,k-anonymity,10,20,0.24346197463849006,0.1877024239379549,0.017350566355240238,0.15198024783975042,0.049259720187814104,0.7556924001201561,0.7573470179311991,0.75332383665717,0.7614134021237027,0.7556841392424664,"[[12465  4156]
 [ 3977 12692]]",0.1486478,2.5246825218200684,0.10150259
25,SEX,PINCP,k-anonymity,10,20,0.2433207522786961,0.18124678714508458,0.016790117741529498,0.14616887582303836,0.06009503905580149,0.7567437668969661,0.7577335008675881,0.7558340793792898,0.7596424929518325,0.75673923191427,"[[12528  4091]
 [ 4007 12664]]",0.14782545,2.517248175645769,0.10188167
26,SEX,PINCP,k-anonymity,10,20,0.24622872407836932,0.18436508238893334,0.019275729359876426,0.1479041254891077,0.07395257349047057,0.7512766596575549,0.7534980649002679,0.7410552204719798,0.7663658935384243,0.7513953804581911,"[[12355  4422]
 [ 3858 12655]]",0.14215639,3.498459577560425,0.09820663
27,SEX,PINCP,k-anonymity,10,20,0.26630845684772464,0.20711227165885027,0.017676735892594997,0.17360743830263003,0.048888544897839226,0.7532291979573446,0.7564266018323599,0.7481086153304791,0.7649316382825617,0.7532073624180354,"[[12319  4295]
 [ 3920 12756]]",0.15058784,2.72005558013916,0.10278375
28,SEX,PINCP,k-anonymity,10,20,0.2536911714193089,0.1881918557786857,0.013110834787021242,0.16435271607021004,0.05312864041023824,0.7533493541604085,0.7559808612440191,0.74699007458742,0.7651907111057634,0.7533656939258119,"[[12360  4308]
 [ 3903 12719]]",0.15560699,2.8086359762098385,0.10442129
