SEED,protected_att,target,method,anon_parameter,supp_level,SPD,EOD,MAD,PED,PRD,ACC,f1,Precision,Recall,ROC_AUC,CM,ASF,ALF,NCF
0,gender,income,k-anonymity,10,10,0.41602157178617877,0.2931299342642475,-0.004539466116006863,0.255692048255286,0.05883645982183583,0.7892039258451472,0.8040944562683693,0.7903964933253637,0.8182755775577558,0.787434873461895,"[[3270 1052]
 [ 881 3967]]",0.10019527,4.686888694763184,0.08525204
1,gender,income,k-anonymity,10,10,0.40061878325237105,0.28041524253756345,-0.009223918575063661,0.24568150092203805,0.04159214334493189,0.7913849509269356,0.8038149933340171,0.7917171717171717,0.8162882732764007,0.7901537498219953,"[[3338 1031]
 [ 882 3919]]",0.09745073,4.068357399380552,0.083389334
2,gender,income,k-anonymity,10,10,0.430036852624526,0.33891605158823446,0.0024776672507098585,0.26621012599981053,0.07954902872837621,0.7785169029443839,0.7902076231794236,0.7669941848806898,0.8148700468683425,0.7776316275449845,"[[3314 1162]
 [ 869 3825]]",0.15382029,1.6394235018129122,0.12323884
3,gender,income,k-anonymity,10,10,0.43889482443204975,0.3379255956952908,-0.006415261432465402,0.28516806953842766,0.05042896956228715,0.7755725190839695,0.7882716049382716,0.7737830741264391,0.8033130635353324,0.7744127235422628,"[[3281 1120]
 [ 938 3831]]",0.15477762,1.8917186428007855,0.12356274
4,gender,income,k-anonymity,10,10,0.44164610368744783,0.3732811621251082,0.01472490464686671,0.2713381359127932,0.0783762765054965,0.7735005452562704,0.7852342053562196,0.769714169876343,0.8013929928239764,0.7725376516466452,"[[3296 1136]
 [ 941 3797]]",0.15446591,3.327599695118979,0.12406638
5,gender,income,k-anonymity,10,10,0.44341330317949434,0.36342564469647465,0.008003568895088908,0.2661202288485831,0.08066439867970754,0.7794983642311887,0.7898565786738724,0.7766196607398325,0.8035525481074223,0.7787184042045782,"[[3348 1093]
 [ 929 3800]]",0.15588579,1.6323742866516113,0.12224144
6,gender,income,k-anonymity,10,10,0.4508736081376974,0.36952971131921086,0.005528586072372166,0.28458399878103147,0.06087660885117585,0.774918211559433,0.7874794069192751,0.7747163695299838,0.8006700167504187,0.773798822667426,"[[3282 1112]
 [ 952 3824]]",0.15678355,2.0734336376190186,0.122285396
7,gender,income,k-anonymity,10,10,0.42263273429284015,0.35010208714502866,0.014684375998343713,0.2512814813641,0.08145641492857836,0.7774263904034896,0.7895225327420852,0.7748987854251013,0.8047088501156191,0.7763630359800846,"[[3301 1112]
 [ 929 3828]]",0.15180491,1.697289228439331,0.121127486
8,gender,income,k-anonymity,10,10,0.4472345759361705,0.3900908826704856,0.01547453327066084,0.275187969924812,0.052601067737394924,0.7745910577971646,0.7837639920493775,0.7747673216132368,0.7929720575783235,0.7740163931616314,"[[3357 1089]
 [ 978 3746]]",0.15138909,1.7500462532043457,0.120857984
9,gender,income,k-anonymity,10,10,0.4355963266779902,0.3527855961745341,0.01312605511275644,0.2597260346283784,0.10455594827693504,0.7781897491821156,0.7904389037708633,0.7688915614351574,0.8132287470850117,0.7771510903626271,"[[3300 1153]
 [ 881 3836]]",0.15535574,2.5754052632067994,0.12406219
