SEED,protected_att,target,method,anon_parameter,supp_level,SPD,EOD,MAD,PED,PRD,ACC,f1,Precision,Recall,ROC_AUC,CM,ASF,ALF,NCF
0,sex,v_decile_score,k-anonymity,10,10,0.5743159044741469,0.7117789431222268,-0.01000324337242442,0.44804965433718524,0.0892857142857143,0.634469696969697,0.6077235772357723,0.5885826771653543,0.6281512605042017,0.6339032164589973,"[[371 209]
 [177 299]]",0.072273895,0.33486407995224,0.02499691
1,sex,v_decile_score,k-anonymity,10,10,0.09548125235266197,0.11442006269592475,0.04152141536145071,0.012238162151563703,0.16815967684448135,0.6676136363636364,0.6562193927522038,0.6226765799256505,0.6935817805383023,0.6696530194140029,"[[370 203]
 [148 335]]",0.1561678,1.4460856835666092,0.07782831
2,sex,v_decile_score,k-anonymity,10,10,0.6702914310569813,0.8574353247720081,0.059280432486174095,0.5010787861915368,0.0054421768707483276,0.6647727272727273,0.6697761194029851,0.6053962900505903,0.7494780793319415,0.671966076061118,"[[343 234]
 [120 359]]",0.18933952,2.0464645060312017,0.0896518
3,sex,v_decile_score,k-anonymity,10,10,0.2594401402979111,0.31590431996464485,0.04975914045330432,0.1508328654314056,0.1266642459452918,0.6751893939393939,0.6791393826005613,0.6552346570397112,0.7048543689320388,0.6759022306767403,"[[350 191]
 [152 363]]",0.1753962,1.4803962707519531,0.085309595
4,sex,v_decile_score,k-anonymity,10,10,0.6200923787528868,0.7205882352941176,-0.08592439528382156,0.5305676855895196,0.547486033519553,0.603219696969697,0.5839126117179742,0.547486033519553,0.625531914893617,0.6054280734877641,"[[343 243]
 [176 294]]",0.09939591,0.6488077640533447,0.030783568
5,sex,v_decile_score,k-anonymity,10,10,0.10927359449526941,0.13888888888888884,0.03553835327234334,0.03532097770615095,0.1117349034643298,0.6676136363636364,0.6555446516192346,0.6640159045725647,0.6472868217054264,0.6671619293712318,"[[371 169]
 [182 334]]",0.16819428,2.029174566268921,0.080034584
6,sex,v_decile_score,k-anonymity,10,10,0.6083832335329341,0.7245370370370371,-0.027631614598856657,0.4838709677419355,0.6161417322834646,0.6297348484848485,0.615535889872173,0.6161417322834646,0.6149312377210217,0.6292206462828143,"[[352 195]
 [196 313]]",0.06759067,0.2615740893049786,0.025255483
7,sex,v_decile_score,k-anonymity,10,10,0.6016451233842538,0.7295454545454545,0.03572267920094008,0.46472019464720193,0.626953125,0.6287878787878788,0.620889748549323,0.626953125,0.6149425287356322,0.6286323130569547,"[[343 191]
 [201 321]]",0.079284474,0.2703545093536377,0.032051962
8,sex,v_decile_score,k-anonymity,10,10,0.25246796392975795,0.3635862259143084,0.07263882297104884,0.10411560735617159,0.2464392536675687,0.6714015151515151,0.6647342995169082,0.6429906542056075,0.688,0.6722374100719424,"[[365 191]
 [156 344]]",0.17438401,1.9618016026164584,0.07324591
9,sex,v_decile_score,k-anonymity,10,10,0.17706048963795956,0.2421840958605665,0.06674331865728145,0.07237019101425884,0.1541647132364432,0.6553030303030303,0.6604477611940298,0.6378378378378379,0.6847195357833655,0.6559033671495678,"[[338 201]
 [163 354]]",0.19239399,2.511982924728509,0.08662267
10,sex,v_decile_score,k-anonymity,10,10,0.7079439252336449,0.9025,0.05822429906542059,0.5372807017543859,0.5957095709570958,0.6571969696969697,0.6660516605166051,0.5957095709570958,0.7552301255230126,0.6656773464985306,"[[333 245]
 [117 361]]",0.15669122,1.3577815089870255,0.06885318
11,sex,v_decile_score,k-anonymity,10,10,0.21826820231292438,0.29597595387069076,0.06513299019636809,0.10684273709483794,0.12117160913952363,0.6875,0.6851145038167938,0.6503623188405797,0.7237903225806451,0.689573732718894,"[[367 193]
 [137 359]]",0.12887496,2.1214090205289096,0.09940346
12,sex,v_decile_score,k-anonymity,10,10,0.6039952996474736,0.7180094786729858,0.01222091656874269,0.49184149184149184,0.5894941634241245,0.6098484848484849,0.5952848722986247,0.5894941634241245,0.6011904761904762,0.609472049689441,"[[341 211]
 [201 303]]",0.08888553,0.405481511119182,0.031757846
13,sex,v_decile_score,k-anonymity,10,10,0.617096018735363,0.7468982630272953,0.007014167458900489,0.5011086474501109,0.571157495256167,0.6145833333333334,0.5966303270564915,0.571157495256167,0.6244813278008299,0.615376552402157,"[[348 226]
 [181 301]]",0.100313686,0.5590825080871582,0.035360895
14,sex,v_decile_score,k-anonymity,10,10,0.6203271028037384,0.740139211136891,0.006495327102803761,0.4988235294117647,0.60075329566855,0.6202651515151515,0.6140519730510106,0.60075329566855,0.6279527559055118,0.6205457210184493,"[[336 212]
 [189 319]]",0.10011885,0.736545205116272,0.03535124
15,sex,v_decile_score,k-anonymity,10,10,0.24760765550239233,0.26364260739260736,0.051196172248803795,0.15541125541125544,0.14862010221465083,0.6723484848484849,0.7067796610169491,0.6069868995633187,0.845841784989858,0.6831340363670427,"[[293 270]
 [ 76 417]]",0.18713474,2.0159937750260197,0.0882256
16,sex,v_decile_score,k-anonymity,10,10,0.5917047589668808,0.7358722358722359,-0.010235845088196527,0.4561710495617105,0.10039370078740162,0.6410984848484849,0.6175580221997982,0.6,0.6361746361746362,0.640696013739492,"[[371 204]
 [175 306]]",0.0850234,0.38284461367461586,0.032256253
17,sex,v_decile_score,k-anonymity,10,10,0.572803738317757,0.7158056996766674,-0.04032710280373841,0.4368360316328955,0.4418604651162791,0.6373106060606061,0.6219151036525172,0.603448275862069,0.6415478615071283,0.6375880900455996,"[[358 207]
 [176 315]]",0.11022152,0.5639905139802356,0.037925236
18,sex,v_decile_score,k-anonymity,10,10,0.5936507936507937,0.6922336328626444,-0.04338624338624342,0.49485049833887046,0.07471264367816088,0.6136363636363636,0.5976331360946746,0.5738636363636364,0.6234567901234568,0.6143599740090968,"[[345 225]
 [183 303]]",0.098323464,0.33480313420295715,0.03475435
19,sex,v_decile_score,k-anonymity,10,10,0.17578020209246176,0.2798688788567157,0.0881918984172404,0.040930232558139545,0.18735632183908046,0.6789772727272727,0.66402378592666,0.6607495069033531,0.6673306772908366,0.6784306816057072,"[[382 172]
 [167 335]]",0.16366342,1.2090985905431884,0.080393344
20,sex,v_decile_score,k-anonymity,10,10,0.36739656805979576,0.4453522149600581,0.05331087482892938,0.24922128383802705,0.1626959247648903,0.6590909090909091,0.6858638743455497,0.5981735159817352,0.803680981595092,0.6690362579933132,"[[303 264]
 [ 96 393]]",0.18357426,1.6531674802291252,0.08757336
21,sex,v_decile_score,k-anonymity,10,10,0.08508158508158509,0.053708439897698246,0.004662004662004726,0.034418604651162754,0.12275862068965515,0.6704545454545454,0.6568047337278107,0.6201117318435754,0.6981132075471698,0.6728908006647767,"[[375 204]
 [144 333]]",0.16186088,1.678469593216475,0.0786542
22,sex,v_decile_score,k-anonymity,10,10,0.5779326099371788,0.7176080726056843,0.028498001142204465,0.44033492292336696,0.2771317829457364,0.6297348484848485,0.6185365853658537,0.60727969348659,0.6302186878727635,0.6297567218748988,"[[348 205]
 [186 317]]",0.09359861,0.6054598093032837,0.034852818
23,sex,v_decile_score,k-anonymity,10,10,0.22841751656931875,0.2824778256687921,0.06319038828193568,0.1267901055981484,0.16353600263634865,0.6590909090909091,0.686411149825784,0.595166163141994,0.8106995884773662,0.6702620749404375,"[[302 268]
 [ 92 394]]",0.18495567,1.8160204140901304,0.08729038
24,sex,v_decile_score,k-anonymity,10,10,0.6009227220299884,0.729064039408867,0.031599567931747896,0.4880694143167028,0.5681381957773513,0.6079545454545454,0.588469184890656,0.5681381957773513,0.6103092783505155,0.6081318720999513,"[[346 225]
 [189 296]]",0.10199712,0.4250337713181738,0.03566377
25,sex,v_decile_score,k-anonymity,10,10,0.27431349479432593,0.2635950168083845,-0.023253490798499254,0.23123620309050774,0.036047666335650375,0.6543560606060606,0.6598322460391426,0.5841584158415841,0.7580299785867237,0.6650930877653481,"[[337 252]
 [113 354]]",0.17797136,1.7913663387298584,0.08230117
26,sex,v_decile_score,k-anonymity,10,10,0.281285741110599,0.330352580480327,0.02379611136716675,0.18442887836917218,0.10318817258372714,0.6761363636363636,0.6705202312138728,0.6327272727272727,0.7131147540983607,0.6787404756407296,"[[366 202]
 [140 348]]",0.18657243,1.8905550060056073,0.08302778
27,sex,v_decile_score,k-anonymity,10,10,0.5742888704777686,0.7146341463414634,0.036177851422259044,0.4459980713596914,0.3389328063241107,0.6174242424242424,0.5968063872255489,0.5862745098039216,0.6077235772357723,0.6168050510292337,"[[353 211]
 [193 299]]",0.07761936,0.3871229339637157,0.028728206
28,sex,v_decile_score,k-anonymity,10,10,0.5887290167865707,0.7111650485436893,0.02080497763951006,0.46919431279620855,0.5967413441955194,0.615530303030303,0.5907258064516129,0.5967413441955194,0.5848303393213573,0.6140367912823004,"[[357 198]
 [208 293]]",0.09752774,0.37153070735711047,0.03338341
29,sex,v_decile_score,k-anonymity,10,10,0.6006959547629405,0.6883555041449778,-0.04250295159386064,0.5169199836423118,-0.19761904761904758,0.6022727272727273,0.5825049701789264,0.553875236294896,0.6142557651991615,0.603328228022724,"[[343 236]
 [184 293]]",0.08965388,0.6713695526123047,0.035360526
30,sex,v_decile_score,k-anonymity,10,10,0.5947372643401524,0.7426807096733747,-0.005455274769354257,0.4535254860237934,0.3570726915520629,0.6401515151515151,0.62,0.6042884990253411,0.6365503080082136,0.639892025708852,"[[366 203]
 [177 310]]",0.08294563,0.5420580246349092,0.03088769
31,sex,v_decile_score,k-anonymity,10,10,0.5978009259259259,0.7518072289156627,0.00347222222222221,0.4611331413982291,0.5886792452830188,0.6278409090909091,0.6135693215339233,0.5853658536585366,0.6446280991735537,0.6291322314049587,"[[351 221]
 [172 312]]",0.09084582,0.3310531973838806,0.03120926
32,sex,v_decile_score,k-anonymity,10,10,0.6568287037037037,0.8299167552898896,0.01388888888888884,0.49603501094091906,0.003389830508474634,0.6676136363636364,0.6716557530402245,0.6033613445378151,0.7573839662447257,0.6759428422288921,"[[346 236]
 [115 359]]",0.16035263,1.6128093632582274,0.07865539
33,sex,v_decile_score,k-anonymity,10,10,0.05975274725274726,0.0711213648921929,0.04412774725274726,-0.032842601744438094,0.181543877294443,0.6865530303030303,0.6732477788746298,0.6725838264299803,0.6739130434782609,0.6860474308300396,"[[384 166]
 [165 341]]",0.17596455,1.5537711114398347,0.08273342
34,sex,v_decile_score,k-anonymity,10,10,0.22894300427686132,0.23454644585292717,0.01403508771929829,0.12996170227996706,0.1701030927835051,0.678030303030303,0.6786389413988658,0.6491862567811935,0.7108910891089109,0.6794019873856714,"[[357 194]
 [146 359]]",0.13539088,1.3304869090511724,0.065280646
35,sex,v_decile_score,k-anonymity,10,10,0.6025486632655295,0.7658119658119659,0.05887762475093605,0.4631696428571429,0.4071969696969697,0.615530303030303,0.5996055226824457,0.5692883895131086,0.6333333333333333,0.6170138888888889,"[[346 230]
 [176 304]]",0.08582993,0.39302945137023926,0.029935535
36,sex,v_decile_score,k-anonymity,10,10,0.10894649559221437,0.09656419529837246,0.02251898402723229,0.04885496183206112,0.11613654999784218,0.6799242424242424,0.6787072243346007,0.6081771720613288,0.7677419354838709,0.6892855193493804,"[[361 230]
 [108 357]]",0.17529607,1.5850077092606234,0.07592269
37,sex,v_decile_score,k-anonymity,10,10,0.08054203015147782,0.11077297626293359,0.061221549120731966,-0.01801457163226622,0.22749361869232282,0.65625,0.6499517839922855,0.6116152450090744,0.6934156378600823,0.658988520684427,"[[356 214]
 [149 337]]",0.16716227,1.7357940165112165,0.080874324
38,sex,v_decile_score,k-anonymity,10,10,0.1740747460087082,0.2815126050420168,0.09869375907111755,0.030116147599958898,0.2608458525459864,0.6609848484848485,0.6635338345864662,0.6203866432337434,0.7131313131313132,0.6640522875816993,"[[345 216]
 [142 353]]",0.16677704,1.9540325897367483,0.079168335
39,sex,v_decile_score,k-anonymity,10,10,0.14560822387207312,0.11342556447331431,0.02451170759565957,0.06003898635477578,0.18073640129064739,0.6799242424242424,0.6932849364791288,0.6586206896551724,0.7318007662835249,0.6805071247147962,"[[336 198]
 [140 382]]",0.18926015,1.7177139021044245,0.083187826
0,sex,v_decile_score,k-anonymity,10,20,0.14955360953210084,0.05129756622293935,-0.025725064440689005,0.10267278935594021,0.03005389604457842,0.78125,0.7814569536423841,0.7108433734939759,0.8676470588235294,0.7889959432048681,"[[412 168]
 [ 63 413]]",0.3440385,2.0108207476581446,0.15122627
1,sex,v_decile_score,k-anonymity,10,20,0.11024369486587787,0.044111061352440584,0.003616962079180386,0.04329923858697432,0.10233573066731982,0.7471590909090909,0.7440076701821668,0.6928571428571428,0.8033126293995859,0.751569054664889,"[[401 172]
 [ 95 388]]",0.36947384,1.768675892642306,0.16225976
2,sex,v_decile_score,k-anonymity,10,20,0.12999440750636926,-0.005335318568149394,-0.07910271546635184,0.14989908129175944,-0.04945794970303152,0.7547348484848485,0.7554296506137866,0.6896551724137931,0.8350730688935282,0.7615573316738005,"[[397 180]
 [ 79 400]]",0.39315143,1.7422221175385315,0.16558106
3,sex,v_decile_score,k-anonymity,10,20,0.07451106621972603,-0.03549331565572866,-0.02843696583568278,0.04338386674153094,0.05640610737698115,0.7670454545454546,0.7734806629834254,0.7355516637478109,0.8155339805825242,0.7682106132117797,"[[390 151]
 [ 95 420]]",0.36906445,2.0481011524525767,0.15555367
4,sex,v_decile_score,k-anonymity,10,20,0.1678862282727604,0.09527197975964574,-0.01271423362100399,0.08945141921397382,0.08048289738430581,0.7632575757575758,0.7524752475247525,0.7037037037037037,0.8085106382978723,0.7677365478178781,"[[426 160]
 [ 90 380]]",0.37999573,2.2248092455423736,0.15577507
5,sex,v_decile_score,k-anonymity,10,20,0.08120259598092106,-0.03828828828828834,-0.060012510751426995,0.08380338436744558,-0.013342118267171799,0.7774621212121212,0.7785108388312912,0.7577981651376147,0.8003875968992248,0.7779715762273902,"[[408 132]
 [103 413]]",0.3777302,2.0505871772766113,0.16002701
6,sex,v_decile_score,k-anonymity,10,20,0.1537702874793399,-0.005681818181818232,-0.052136451079740964,0.10878480838158255,0.052612349287541105,0.7642045454545454,0.7688022284122563,0.7288732394366197,0.8133595284872298,0.7659119397463571,"[[393 154]
 [ 95 414]]",0.32987246,1.8153556972622809,0.14254788
7,sex,v_decile_score,k-anonymity,10,20,0.11543951162190819,-0.03608647450110858,-0.075681407812903,0.12201056317132516,-0.014059469941822944,0.7585227272727273,0.7658402203856749,0.7354497354497355,0.7988505747126436,0.7589758491540746,"[[384 150]
 [105 417]]",0.33350456,1.4735290948332984,0.15375492
8,sex,v_decile_score,k-anonymity,10,20,0.07731371618414806,-0.0850711798972803,-0.04475557664926433,0.038378447070784055,0.08792073365623387,0.759469696969697,0.7571701720841301,0.7252747252747253,0.792,0.7611079136690647,"[[406 150]
 [104 396]]",0.3755918,2.172448516900814,0.16033587
9,sex,v_decile_score,k-anonymity,10,20,0.14029557755405364,0.042592592592592515,-0.03170588070332869,0.11259079903147703,0.013669444151460763,0.7660984848484849,0.7776777677767777,0.7272727272727273,0.8355899419729207,0.7675166778510243,"[[377 162]
 [ 85 432]]",0.38809323,1.7017771313411167,0.15736905
10,sex,v_decile_score,k-anonymity,10,20,0.12588785046728973,-0.010512820512820431,-0.08616822429906534,0.14908685648547598,-0.07130032007077991,0.7651515151515151,0.7578125,0.7106227106227107,0.8117154811715481,0.7691795398937326,"[[420 158]
 [ 90 388]]",0.3596087,1.7849598325857208,0.1530725
11,sex,v_decile_score,k-anonymity,10,20,0.1716196970860935,0.14163906269169424,-0.0221482895351105,0.10337468320661598,-0.10882058970514741,0.7992424242424242,0.7617977528089888,0.8604060913705583,0.6834677419354839,0.7926267281105991,"[[505  55]
 [157 339]]",0.21395811,1.5433580811188419,0.12942556
12,sex,v_decile_score,k-anonymity,10,20,0.13025135421742,0.0807421107386429,-0.0033991573758276328,0.0776621752231508,0.03613871030586402,0.7679924242424242,0.7695202257761053,0.7316636851520573,0.8115079365079365,0.7698844030365769,"[[402 150]
 [ 95 409]]",0.40549743,1.672233588567051,0.15932855
13,sex,v_decile_score,k-anonymity,10,20,0.0674403505924363,-0.036435593805949074,-0.04761518306397383,0.06725794530672582,0.005564648117839632,0.7585227272727273,0.7526673132880698,0.7067395264116576,0.8049792531120332,0.7622457241169922,"[[413 161]
 [ 94 388]]",0.3818776,2.310781478881836,0.15685439
14,sex,v_decile_score,k-anonymity,10,20,0.18495327102803738,0.12423539337692469,-0.005981308411215025,0.12145384983261598,0.035374648575968726,0.7651515151515151,0.773308957952468,0.7218430034129693,0.8326771653543307,0.7676159549399391,"[[385 163]
 [ 85 423]]",0.37407038,1.8837185675597286,0.15673888
15,sex,v_decile_score,k-anonymity,10,20,0.12177033492822964,-0.014828921078920976,-0.0349282296650717,0.06863136863136862,0.060144625225976855,0.7859848484848485,0.7839388145315488,0.7414104882459313,0.8316430020283976,0.788823277213133,"[[420 143]
 [ 83 410]]",0.38544697,1.7392680644989014,0.16149288
16,sex,v_decile_score,k-anonymity,10,20,0.0941361227179674,-0.045454545454545525,-0.03882890714826559,0.05911075559110757,0.05352011494252873,0.7793560606060606,0.7761767531219981,0.7214285714285714,0.83991683991684,0.7843062460453765,"[[419 156]
 [ 77 404]]",0.35442483,1.857117772102356,0.15439433
17,sex,v_decile_score,k-anonymity,10,20,0.14957943925233647,-0.01605383863448384,-0.042336448598130905,0.0868377286766453,0.10038698508070676,0.7556818181818182,0.7547528517110266,0.7076648841354723,0.8085539714867617,0.7591442423805489,"[[401 164]
 [ 94 397]]",0.39990532,3.1635916233062744,0.16464421
18,sex,v_decile_score,k-anonymity,10,20,0.10621693121693121,-0.04454428754813855,-0.056481481481481466,0.07906976744186045,0.03589145024803042,0.7698863636363636,0.7629268292682927,0.725417439703154,0.8045267489711934,0.772438813082088,"[[422 148]
 [ 95 391]]",0.39771485,1.8028696475582888,0.16477667
