SEED,protected_att,target,method,anon_parameter,threshold_target,SPD,EOD,MAD,PED,PRD,ACC,f1,Precision,Recall,ROC_AUC,CM,ASF,ALF,NCF
0,SEX,PINCP,k-anonymity,10,7000,0.03416171626158504,0.018197031283520793,0.036228130200471886,0.017357643516952903,0.02496610576270908,0.9169720636827876,0.9545424643115584,0.9354349998388293,0.9744467949363689,0.7018144490498317,"[[ 1506  2003]
 [  761 29020]]",0.08763647,2.8790087699890137,0.049873877
1,SEX,PINCP,k-anonymity,10,7000,0.02441817202018437,0.011166137635519435,0.03618879888111903,-0.048866106113174324,0.031600242761506414,0.9165815560228296,0.9540650070300223,0.940698698502789,0.967816631988724,0.7235990376438466,"[[ 1674  1818]
 [  959 28839]]",0.08698134,2.674419403076172,0.05052736
2,SEX,PINCP,k-anonymity,10,7000,0.022568493522177824,0.014116173872296356,0.035306354159510334,-0.031703101970249614,0.02675500372650408,0.9165815560228296,0.9544776486402308,0.934846830646715,0.9749506044673655,0.6916164512567216,"[[ 1400  2029]
 [  748 29113]]",0.08294837,2.680429814899338,0.048819378
3,SEX,PINCP,k-anonymity,10,7000,0.02804645263040162,0.01669029320116444,0.03940481178571886,-0.013191660811694872,0.029301184577247397,0.913697807149294,0.9529502317278876,0.9336692125024068,0.9730443797866292,0.6815649753757578,"[[ 1322  2067]
 [  806 29095]]",0.08557986,2.133514030847245,0.04820273
4,SEX,PINCP,k-anonymity,10,7000,0.027037889334158183,0.011780084160281423,0.031070280508042725,0.006825503543715139,0.02488131208018729,0.9191649143887053,0.9558468833576714,0.9374054645512181,0.9750284528352413,0.7028245308672694,"[[ 1471  1945]
 [  746 29128]]",0.08761808,1.9655256271362305,0.05010427
5,SEX,PINCP,k-anonymity,10,7000,0.029353068176115493,0.015314589335403417,0.03782396495982954,-0.007168046340029877,0.02915775898986428,0.9153799939921898,0.9537613052541734,0.9358652235536657,0.9723551658355367,0.6943276855269739,"[[ 1420  1991]
 [  826 29053]]",0.08560925,2.2996636428380066,0.050012335
6,SEX,PINCP,k-anonymity,10,7000,0.0269322003961735,0.011140464714772924,0.03239198945635535,0.0062633589393580325,0.026990950717498907,0.9177530790027035,0.9550749844124307,0.935398855820531,0.975596674711719,0.6971679151464898,"[[ 1448  2010]
 [  728 29104]]",0.08165553,2.203928966056936,0.047149718
7,SEX,PINCP,k-anonymity,10,7000,0.021923896267101117,0.009836989317153488,0.026554870987443024,-0.0036344780590105152,0.021554158124701406,0.9175127665965755,0.9548266105152333,0.9375222096591826,0.9727818187912715,0.7066686068211492,"[[ 1523  1934]
 [  812 29021]]",0.085928656,2.813025991950733,0.049336515
8,SEX,PINCP,k-anonymity,10,7000,0.02537790865037548,0.011646763538737614,0.03203488912933994,-0.0012506477874922872,0.025885397779194963,0.9180234304595974,0.9552586277563735,0.935789541307979,0.9755550346582728,0.6961230090128248,"[[ 1428  1999]
 [  730 29133]]",0.079874076,2.25404127528263,0.046540543
9,SEX,PINCP,k-anonymity,10,7000,0.013865826002645298,0.005549361286283805,0.03495635726855417,-0.07397917694827039,0.03417544684367857,0.9182337038149595,0.9553463040125988,0.9365712447732389,0.9748895138609883,0.6993091637101552,"[[ 1450  1972]
 [  750 29118]]",0.08846479,2.275021976471353,0.050455295
