SEED,protected_att,target,method,anon_parameter,threshold_target,SPD,EOD,MAD,PED,PRD,ACC,f1,Precision,Recall,ROC_AUC,CM,ASF,ALF,NCF
0,gender,income,k-anonymity,10,4650,0.07141416840934867,0.036281225867900724,0.06467391470750716,0.11938095238095237,0.040176366843033495,0.9358778625954198,0.9657741559953434,0.9512670565302144,0.980730582811207,0.6914904672143236,"[[ 286  425]
 [ 163 8296]]",0.061176445,2.752630232384198,0.043962725
1,gender,income,k-anonymity,10,4650,0.05887115429100165,0.024153052141925757,0.061965070552856716,0.05281385281385287,0.048496168775013504,0.9363140676117775,0.9659514925373134,0.9525123605841095,0.9797752808988764,0.7010764516382494,"[[ 302  413]
 [ 171 8284]]",0.064247504,3.6389759624152402,0.04462038
2,gender,income,k-anonymity,10,4650,0.03730172792874653,0.01627850079704385,0.06029593109048903,0.029824561403508754,0.05179078412366089,0.9287895310796074,0.9621339518701073,0.9411230856494611,0.9841043890865955,0.641376518867622,"[[ 221  519]
 [ 134 8296]]",0.05310867,1.9578018188476562,0.03668734
3,gender,income,k-anonymity,10,4650,0.05376979210252286,0.023484238199625862,0.06567518270414319,0.08044078703835533,0.05220022526047807,0.9317339149400218,0.9636342511908912,0.9429286039108685,0.9852696602518413,0.6588582343812398,"[[ 250  502]
 [ 124 8294]]",0.05325864,2.1394166946411133,0.03666575
4,gender,income,k-anonymity,10,4650,0.04120887889386493,0.019119632730218772,0.06416469016216175,0.03795934234296039,0.05336636844614662,0.9302071973827699,0.9629372249247162,0.9422030825022666,0.9846044528659403,0.6410625570114825,"[[ 216  510]
 [ 130 8314]]",0.055119216,1.8819657564163208,0.03694786
5,gender,income,k-anonymity,10,4650,0.05257708679547679,0.02865714732540059,0.0643408186870904,0.05877654040048064,0.046002444134793485,0.9274809160305344,0.9612538600477772,0.9411294922989162,0.9822576804000953,0.6569319490083378,"[[ 256  516]
 [ 149 8249]]",0.05367725,1.566129517607096,0.03649305
6,gender,income,k-anonymity,10,4650,0.046759261139976305,0.022235555587113875,0.06227987146727976,0.04909815052188249,0.04935014183986575,0.9294438386041439,0.9624121303665834,0.9446852189781022,0.9808170515097691,0.6559257671341949,"[[ 240  485]
 [ 162 8283]]",0.053051054,2.1877967132545413,0.036866225
7,gender,income,k-anonymity,10,4650,0.031160800347715067,0.01289007134953235,0.05939070356065057,-0.008808510638297906,0.05292914148276562,0.9334787350054525,0.9646745425063702,0.9412362978867669,0.9893098942867324,0.6484498872232597,"[[ 231  520]
 [  90 8329]]",0.05029039,1.3479536771774292,0.03569074
8,gender,income,k-anonymity,10,4650,0.03152230899953001,0.015571276496825104,0.06521254414192912,-0.004975804823404539,0.057296773109757004,0.9233369683751363,0.9591587753442166,0.93519882179676,0.9843787264488433,0.6273934448570747,"[[ 212  572]
 [ 131 8255]]",0.055039823,2.0194427967071533,0.03696997
9,gender,income,k-anonymity,10,4650,0.0411865607395937,0.016878178223407314,0.05822865149803391,0.05730075625363584,0.04880885388681433,0.9336968375136314,0.9648270276524354,0.9433257918552036,0.9873312810798011,0.647671165401779,"[[ 223  501]
 [ 107 8339]]",0.053813145,1.909632570704462,0.036592096
10,gender,income,k-anonymity,10,4650,0.05206528454264481,0.020774886227697853,0.05809147320678498,0.09222501395868221,0.04675466897218383,0.9306434023991276,0.9629802095459837,0.9434306569343066,0.983357108892059,0.6645017734433909,"[[ 262  496]
 [ 140 8272]]",0.056226753,3.253204584121704,0.04195537
11,gender,income,k-anonymity,10,4650,0.034154684141656455,0.016681276082208152,0.06482885098389968,0.0198071514664524,0.05562013751956296,0.9259541984732824,0.9606673231767364,0.9352582900969998,0.9874955341193283,0.6224670426094701,"[[ 199  574]
 [ 105 8292]]",0.055783074,2.04927283484118,0.036693513
12,gender,income,k-anonymity,10,4650,0.05401217747320808,0.02286477501524864,0.049473808780592154,0.09462680099664167,0.03553753233825885,0.9339149400218103,0.9646729625743267,0.9507066528783178,0.9790557330493432,0.6911968512256452,"[[ 290  429]
 [ 177 8274]]",0.056845114,3.055447816848755,0.042710964
13,gender,income,k-anonymity,10,4650,0.05167915582450677,0.024830514617008914,0.06930139637295973,0.0444668008048289,0.05492101438047381,0.929989094874591,0.9626440125683696,0.9424632562378945,0.983707931977643,0.6600537031767322,"[[ 256  505]
 [ 137 8272]]",0.052475967,1.4565353393554688,0.035415012
14,gender,income,k-anonymity,10,4650,0.042174348792378025,0.018637290390108863,0.05460884454865955,0.07519114367633006,0.04328542206618047,0.933587786259542,0.9647997225593896,0.9441176470588235,0.9864082259780168,0.6448261158098828,"[[ 215  494]
 [ 115 8346]]",0.054498434,1.69841212210557,0.03736097
15,gender,income,k-anonymity,10,4650,0.053262447126223744,0.02039448990602233,0.048891772595114125,0.10530896431679715,0.037326316297271456,0.9324972737186478,0.9638751094251532,0.9466926516106844,0.9816928197812649,0.6841181777006589,"[[ 293  465]
 [ 154 8258]]",0.06357583,2.8164105679887697,0.04415089
16,gender,income,k-anonymity,10,4650,0.034921573884628576,0.013675006338442652,0.06625666168612898,0.02262957091807949,0.0598512537453475,0.9292257360959651,0.9624182060339337,0.9366546438232642,0.9896391568417292,0.6313008203354831,"[[ 211  562]
 [  87 8310]]",0.052286707,1.3836513652312994,0.035724282
17,gender,income,k-anonymity,10,4650,0.042621504356268436,0.020030662274776567,0.0581089088548592,0.06462282708476008,0.04588497033247718,0.9312977099236641,0.9635290031260855,0.9408705483323911,0.9873057302171077,0.640751380628122,"[[ 218  523]
 [ 107 8322]]",0.054206915,1.8002223865432736,0.03548225
18,gender,income,k-anonymity,10,4650,0.039049233305579634,0.0194062765324845,0.06443181903163342,0.017880739060363693,0.05276242829461253,0.9332606324972738,0.9646201873048907,0.9424988703117939,0.9878048780487805,0.6423831020078157,"[[ 215  509]
 [ 103 8343]]",0.052333158,1.2701348979133917,0.03532897
19,gender,income,k-anonymity,10,4650,0.036998814578415806,0.0213330689232637,0.06952120054051025,-0.027253374035989708,0.0566619386937518,0.9293347873500545,0.9623649668951098,0.9392359142954314,0.9866619030606169,0.6466297872353537,"[[ 237  536]
 [ 112 8285]]",0.051839095,2.069171905517578,0.03580906
20,gender,income,k-anonymity,10,4650,0.04177257476981333,0.019577223817239586,0.06351762214952483,0.04326745605815374,0.05244005115408468,0.9285714285714286,0.9620135707243519,0.9399365367180417,0.985152630953795,0.6397134659429428,"[[ 221  530]
 [ 125 8294]]",0.055145077,1.7834253311157227,0.036277954
21,gender,income,k-anonymity,10,4650,0.03954801328433921,0.01837705859869232,0.07120965919532496,0.004357727998912209,0.061777655525857234,0.9281352235550708,0.9617372118678511,0.9388958168008162,0.985717686265175,0.6419473847992542,"[[ 229  539]
 [ 120 8282]]",0.053441156,2.1723733269230703,0.03541285
