SEED,protected_att,target,method,anon_parameter,threshold_target,SPD,EOD,MAD,PED,PRD,ACC,f1,Precision,Recall,ROC_AUC,CM,ASF,ALF,NCF
0,sex,v_decile_score,k-anonymity,10.0,1,0.0851470613338796,0.0150131057944342,0.0106519178573257,0.0686274509803921,0.0221889055472264,0.8636363636363636,0.9097744360902256,0.8940886699507389,0.9260204081632653,0.8049219687875151,"[[186  86]
 [ 58 726]]",0.31721324,2.8528493689969183,0.13149984
1,sex,v_decile_score,k-anonymity,10.0,1,0.0696715274709087,-0.0269592476489027,-0.0202942668696093,0.0981257639549096,0.017961357583999,0.8560606060606061,0.9054726368159204,0.8824242424242424,0.929757343550447,0.7872229941195459,"[[176  97]
 [ 55 728]]",0.36597475,2.783759832382202,0.14481807
2,sex,v_decile_score,k-anonymity,10.0,1,0.0565463244889082,-0.0070584544598975,-0.00192630336171,0.0530753968253968,0.0181277056277056,0.8740530303030303,0.9182544560540872,0.904358353510896,0.9325842696629212,0.8113901740471469,"[[176  79]
 [ 54 747]]",0.38817564,2.9893510341644287,0.14844736
3,sex,v_decile_score,k-anonymity,10.0,1,0.0634226474571003,-0.0103021978021977,-0.019601749284081,0.111156186612576,-0.0021859745648892,0.8768939393939394,0.921968787515006,0.9164677804295944,0.927536231884058,0.8102593440122043,"[[158  70]
 [ 60 768]]",0.33780774,3.2897512912750244,0.1336744
4,sex,v_decile_score,k-anonymity,10.0,1,0.1310319679105385,0.0476603944144444,0.0197034155828369,0.1295518207282913,0.0091523207670516,0.8740530303030303,0.9181538461538462,0.8923444976076556,0.9455006337135616,0.8042109910140842,"[[177  90]
 [ 43 746]]",0.351799,3.147308779778565,0.1370608
5,sex,v_decile_score,k-anonymity,10.0,1,0.0247478301665493,-0.0100587137590459,0.0064117601063414,-0.0033594624860022,0.026575058335494,0.8674242424242424,0.9150485436893204,0.9095295536791316,0.9206349206349206,0.8020896122161945,"[[162  75]
 [ 65 754]]",0.35061407,3.7969484329223633,0.13857484
6,sex,v_decile_score,k-anonymity,10.0,1,0.0808085187091879,-0.0201219512195121,0.0245048364808844,0.0130353817504655,0.0764880952380951,0.865530303030303,0.9127764127764127,0.8930288461538461,0.9334170854271356,0.7955546965597216,"[[171  89]
 [ 53 743]]",0.33238393,3.0407254695892334,0.13138008
7,sex,v_decile_score,k-anonymity,10.0,1,0.0906766787996904,-0.0221562851944902,-0.0034278180619643,0.1026289180990899,0.039641029500301,0.865530303030303,0.9149700598802396,0.8935672514619883,0.9374233128834356,0.7799149759437924,"[[150  91]
 [ 51 764]]",0.31509703,2.9543423950859893,0.13042271
8,sex,v_decile_score,k-anonymity,10.0,1,0.1096108210726151,0.0373065373065373,0.033673469387755,0.0787253983130271,0.0429790584830169,0.84375,0.8983364140480592,0.8814993954050786,0.9158291457286432,0.7694530344027832,"[[162  98]
 [ 67 729]]",0.35548788,3.1743736267089844,0.13564034
9,sex,v_decile_score,k-anonymity,10.0,1,0.0665694495078381,-0.0193089430894309,-0.0105050618357216,0.087735923556819,0.0206316253605481,0.8683712121212122,0.9156041287188827,0.8902007083825265,0.9425,0.789609375,"[[163  93]
 [ 46 754]]",0.35081542,2.8559449707263465,0.1315605
