SEED,dataset,protected_att,target,method,anon_parameter,supp_level,SPD,EOD,MAD,PED,PRD,ACC,f1,Precision,Recall,ROC_AUC,CM,INF
0,ACSIncome_10000,SEX,PINCP,k-anonymity,10,10,-0.02540701128936418,-0.005980326402861613,0.0033036244800950243,-0.05281757663753661,-0.006544859558221927,0.5641304347826087,0.7049300956585725,0.5820170109356014,0.8936567164179104,0.49891169154228854,"[[ 40 344]
 [ 57 479]]",0.0899589431063273
1,ACSIncome_10000,SEX,PINCP,k-anonymity,10,20,-0.05906564163217032,-0.033103289918485546,-0.029355410999408638,-0.09427609427609418,-0.03619919223167478,0.616304347826087,0.7519325368938862,0.6199304750869061,0.9553571428571429,0.5221230158730159,"[[ 32 328]
 [ 25 535]]",0.06846397761571657
2,ACSIncome_10000,SEX,PINCP,k-anonymity,10,30,0.15385088961398752,0.15522275358671034,-0.017148215325891836,0.14123139772395676,-0.08562116895450222,0.5445652173913044,0.6818526955201215,0.5962815405046481,0.7960992907801419,0.4710833532552395,"[[ 52 304]
 [115 449]]",0.22079592974169615
3,ACSIncome_10000,SEX,PINCP,k-anonymity,10,40,-0.13830090175605125,-0.1408956485002113,-0.04466065495965832,-0.13455267682456873,-0.025944345317186146,0.5576086956521739,0.6812842599843383,0.5991735537190083,0.7894736842105263,0.5004278990158323,"[[ 78 291]
 [116 435]]",0.23497581040048554
4,ACSIncome_10000,SEX,PINCP,k-anonymity,10,50,-0.06376215763528048,-0.05499897771416884,-0.03346085764860385,-0.07716555289370819,-0.04209478645238729,0.5695652173913044,0.6953846153846154,0.6108108108108108,0.8071428571428572,0.5035714285714286,"[[ 72 288]
 [108 452]]",0.5071477275573856
5,ACSIncome_10000,SEX,PINCP,k-anonymity,10,10,-0.10455548676455995,-0.11711980104400088,-0.0706882617880723,-0.08265615524560344,-0.05569368800484131,0.5858695652173913,0.7150336574420344,0.6120358514724712,0.8597122302158273,0.5136473238991225,"[[ 61 303]
 [ 78 478]]",0.09881713713071914
6,ACSIncome_10000,SEX,PINCP,k-anonymity,10,20,-0.014246559698509742,-0.030757400999615436,-0.0677211214526352,0.01614832535885169,-0.07179132926532861,0.591304347826087,0.7218934911242604,0.6153846153846154,0.8729874776386404,0.5140560656891262,"[[ 56 305]
 [ 71 488]]",0.12549770818052827
7,ACSIncome_10000,SEX,PINCP,k-anonymity,10,30,0.029254140882911894,0.005921281783350829,-0.04103011161447989,0.0638495904690991,-0.04679730299199325,0.5576086956521739,0.6909643128321944,0.5994729907773386,0.8154121863799283,0.4878165904275332,"[[ 58 304]
 [103 455]]",0.19381117553269972
8,ACSIncome_10000,SEX,PINCP,k-anonymity,10,40,0.02674151790224122,0.021357953259037554,-0.02392738083211876,0.03653846153846152,-0.04014464502641468,0.5804347826086956,0.7093373493975904,0.6189224704336399,0.8306878306878307,0.5045790428226689,"[[ 63 290]
 [ 96 471]]",0.20274597426621319
9,ACSIncome_10000,SEX,PINCP,k-anonymity,10,50,-0.16366525423728817,-0.16651590532187543,-0.024591404358353497,-0.15873015873015872,0.028284626415467473,0.5543478260869565,0.6756329113924051,0.6108726752503576,0.7557522123893805,0.4947775146453945,"[[ 83 272]
 [138 427]]",0.6336258557772481
10,ACSIncome_10000,SEX,PINCP,k-anonymity,10,10,-0.03358407415849862,-0.023187394036102593,-0.01795076361978576,-0.05115039646431818,-0.024113313586997753,0.5815217391304348,0.7175348495964784,0.614321608040201,0.8624338624338624,0.4963727385823703,"[[ 46 307]
 [ 78 489]]",0.10534014478601542
11,ACSIncome_10000,SEX,PINCP,k-anonymity,10,20,0.02124876791265451,0.022825881909073753,-0.021495185381757542,0.020086083213773365,-0.0329031956425182,0.5804347826086956,0.7190684133915575,0.5958986731001207,0.9064220183486239,0.5065443425076454,"[[ 40 335]
 [ 51 494]]",0.09469474495872626
